Number of analyzed projects,Total LOC,Total types,Total namespaces,Total implementation smells detected,Total design smells detected,Total architecture smells detected
1,14038,201,2,66,231,3
14,9585,196,18,4477,122,6
6,18215,224,9,59,437,8
10,10874,193,31,205,265,10
4,7074,107,24,37,55,8
4,11787,152,9,679,136,14
3,344,8,3,22,7,0
1,4352,126,3,9,182,4
0,0,0,0,0,0,0
1,4884,53,8,109,28,8
40,159781,1478,173,2492,1372,328
7,7067,145,16,111,133,8
2,1139,23,3,10,16,1
1,109,3,1,2,3,0
0,0,0,0,0,0,0
6,2850,50,14,48,40,6
5,4723,67,13,41,22,5
3,1971,13,4,190,6,0
10,16427,234,27,472,173,11
3,31741,436,10,643,1098,13
1,2483,28,4,409,26,3
7,795,37,13,7,16,2
15,73837,370,16,1259,596,9
1,2303,35,6,33,24,3
1,6329,170,9,27,163,6
1,212,1,1,2,0,0
1,1529,60,7,12,64,1
5,20353,326,25,398,376,34
8,19776,264,26,432,225,12
3,4395,94,7,38,391,13
3,6399,101,11,26,68,2
3,3902,56,4,111,49,3
1,1176,4,1,49,9,0
7,226999,1661,101,8191,3178,172
12,16689,141,21,1593,279,48
8,2527,30,8,32,26,2
4,1007,22,8,10,8,1
1,759,7,2,31,7,0
5,5217,47,7,142,66,3
14,165433,858,39,22594,1389,45
8,16184,121,19,81,185,7
1,1495,25,5,15,32,11
2,10779,70,7,458,92,1
1,723,19,8,10,7,0
8,32,2,2,0,0,0
23,56140,650,92,291,660,23
19,11706,166,56,206,132,14
6,13013,419,8,269,548,15
10,12811,250,36,166,136,29
2,458,7,2,2,2,0
59,146502,891,94,3847,926,96
1,9110,53,6,2377,61,3
61,18066,436,124,64,332,29
11,14916,155,21,1479,136,4
1,520,15,3,1,16,1
2,1469,11,2,4,11,1
2,28013,206,15,87,219,29
2,28013,206,15,87,219,29
3,32934,347,19,144,305,44
1,13290,131,8,108,114,32
1,9124,46,8,17,52,5
7,14292,163,26,98,165,31
7,40497,449,51,229,273,108
8,4719,70,15,50,39,16
6,122,3,1,1,1,0
5,81950,502,31,2990,629,85
9,17004,230,13,87,155,20
24,519196,4343,291,4477,2779,789
14,5484,137,72,27,93,0
5,2070,29,4,28,11,3
6,6971,115,17,688,70,28
1,223,2,1,2,2,0
3,2294,23,6,23,12,0
23,184340,1826,111,3754,1218,199
1,5333,62,2,79,136,4
3,26905,80,4,356,120,3
3,690,13,9,34,8,0
2,3350,33,3,20,48,2
4,11037,83,12,162,73,2
3,15011,225,31,329,98,40
