Number of analyzed projects,Total LOC,Total types,Total namespaces,Total implementation smells detected,Total design smells detected,Total architecture smells detected
2,6865,48,10,68,23,6
2,1216,14,2,9,27,0
2,3187,73,17,34,20,10
4,9481,88,7,51,81,8
1,14868,132,8,914,84,19
1,517,9,2,132,2,1
7,6165,116,27,39,116,14
1,20528,65,4,342,122,8
2,4208,44,3,47,80,0
3,14194,103,3,1320,125,1
1,0,0,0,0,0,0
2,78065,495,16,1117,456,62
5,9889,25,5,247,40,0
13,116796,910,27,3736,964,36
16,3355,124,42,19,180,7
2,11049,139,12,70,165,46
4,3942,123,6,72,229,1
4,988,37,4,6,19,1
1,1251,7,1,74,7,1
1,1002,9,2,64,13,1
4,3496,52,7,15,42,6
2,5318,39,7,430,41,7
3,4008,83,13,25,67,34
2,1153,21,4,10,13,4
1,752,18,4,6,13,3
2,9599,78,5,1248,117,3
1,827,6,5,13,3,2
4,21190,328,47,260,232,32
1,0,0,0,0,0,0
6,78640,438,46,1566,782,152
2,321,3,2,8,1,0
143,632450,5923,734,7499,4294,823
1,728,8,1,4,5,0
2,4554,78,36,262,54,0
3,2230,36,8,17,21,1
2,1224,12,2,2,4,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
2,686,11,4,12,12,0
4,1390,20,7,7,14,3
2,5347,29,3,76,26,2
425,36108,1133,509,193,724,21
3,737,24,11,3,10,0
1,3720,22,2,646,31,1
1,3137,26,1,295,18,1
1,17353,131,6,3194,257,12
17,14106,177,45,499,122,35
2,0,0,0,0,0,0
1,787,21,2,0,12,0
0,0,0,0,0,0,0
12,23377,124,13,2585,115,1
25,10505,108,49,498,80,1
2,116,1,1,0,0,0
2,1071,39,8,2,60,2
1,14583,70,3,1333,137,1
1,1046,4,3,15,6,0
1,0,0,0,0,0,0
0,0,0,0,0,0,0
6,10960,147,24,174,135,20
4,37015,226,6,1569,368,3
10,8583,85,12,156,88,4
8,2086,62,8,22,48,6
2,0,0,0,0,0,0
1,0,0,0,0,0,0
1,4909,17,1,42,16,1
11,11458,145,35,236,36,10
2,2052,22,5,20,20,2
5,50534,354,7,1327,405,5
16,6137,53,16,670,54,1
1,455,4,1,3,1,0
7,20922,300,24,451,140,38
8,7917,158,29,89,47,11
1,28907,134,12,1962,185,28
0,0,0,0,0,0,0
4,65704,379,28,1960,527,60
1,549,7,1,47,0,0
1,12556,151,20,103,111,28
7,78912,616,26,6723,980,38
41,138208,2252,335,3244,1257,286
9,8124,98,17,168,88,14
7,7655,118,21,50,52,7
67,157139,1274,152,2744,1844,177
26,69945,487,46,1190,662,19
3,25215,162,5,1062,426,6
1,1344,13,1,2,30,0
3,18230,216,3,27,40,3
0,0,0,0,0,0,0
1,316,2,1,8,4,0
1,149,4,4,7,4,0
1,4843,60,19,86,25,10
2,2089,40,2,16,43,2
1,1195,16,5,14,15,4
1,0,0,0,0,0,0
10,25609,438,49,248,413,66
7,13462,178,35,909,94,21
2,1063,28,5,4,14,3
3,0,0,0,0,0,0
1,322,10,2,1,4,0
2,5496,26,2,13,13,0
4,7864,103,9,284,123,9
4,7864,103,9,284,123,9
0,0,0,0,0,0,0
2,22117,272,20,176,277,60
37,104613,1351,131,2023,1042,198
1,662,2,1,5,1,0
3,18319,200,13,229,244,17
1,832,16,1,3,5,0
0,0,0,0,0,0,0
1,210,5,1,4,3,0
3,40847,368,56,609,178,48
8,3026,64,10,158,59,6
18,7627,183,48,93,104,10
1,572,12,2,2,8,1
2,553,11,6,3,10,0
1,252,5,1,4,3,0
1,7476,69,5,32,55,2
5,2195,32,12,25,22,2
1,1965,33,6,22,22,3
2,24,2,1,0,2,0
1,6096,50,3,67,60,2
3,1462,20,3,11,11,0
17,110071,364,33,4958,609,14
1,168,6,1,6,4,1
1,1659,14,1,77,14,0
9,66201,768,49,396,729,91
1,0,0,0,0,0,0
1,319,5,1,5,3,0
1,65,3,2,1,2,0
1,915,2,1,341,2,0
2,6621,94,9,136,63,4
1,2249,20,1,10,22,1
2,2461,22,2,56,17,0
6,40300,183,8,1780,353,6
5,15764,106,5,559,208,3
3,24813,93,2,749,167,3
3,1785,23,9,90,15,1
2,90,2,1,4,2,0
2,1629,27,5,31,18,3
11,28900,321,48,389,248,55
36,167658,1116,171,5776,1308,40
2,1782,36,3,23,27,3
13,11283,116,16,847,109,9
1,27150,267,40,153,134,46
2,0,0,0,0,0,0
3,118623,795,22,1610,1305,57
1,2787,32,8,74,38,3
9,40641,376,38,2398,300,33
3,25505,268,23,476,342,28
1,1788,31,15,2,30,0
2,5482,101,11,22,93,12
6,199028,527,86,8923,1555,212
2,15877,95,33,941,70,4
0,0,0,0,0,0,0
9,15959,262,42,161,140,58
4,1335,41,4,8,16,1
1,27836,78,4,381,163,12
1,3677,83,21,181,85,4
56,147153,1605,107,3748,1755,75
1,1795,48,8,12,36,3
24,10105,137,51,189,73,17
18,28513,346,57,1634,231,13
1,3997,53,2,30,34,1
9,6944,179,43,23,63,12
2,866,12,2,27,5,1
1,945,16,6,92,12,0
1,2352,50,16,8,37,3
4,5633,65,13,201,62,3
3,9439,50,6,192,21,1
5,1984,26,8,28,17,4
1,13080,74,6,4326,166,12
2,58849,1009,38,94,1815,63
6,1610,25,9,163,13,1
2,2500,23,7,7,20,1
4,12817,298,57,84,142,49
1,0,0,0,0,0,0
2,1250,18,4,20,10,3
2,3671,27,2,46,45,0
1,10509,57,3,664,69,3
5,4596,52,10,30,36,3
1,2933,28,2,571,7,0
3,1640,17,5,38,11,1
7,9316,184,33,78,67,16
24,24009,376,48,544,560,16
4,7276,65,5,720,35,2
6,110151,841,70,3252,794,136
2,44307,313,15,437,467,41
8,156577,1443,43,11337,3100,152
10,269810,1976,39,10677,4354,105
12,29776,124,13,923,80,14
2,1394,15,5,2,8,0
2,4241,24,5,12,11,0
16,33480,391,50,499,253,10
3,2664,62,6,33,60,3
2,1185,13,3,14,15,1
14,9202,181,39,112,119,21
35,17494,320,89,221,228,18
30,5170,137,57,25,89,4
0,0,0,0,0,0,0
3,41018,472,28,545,395,91
1,1937,21,2,8,17,1
2,1386,32,5,17,29,3
2,5358,99,9,28,114,6
66,30997,440,148,344,335,20
2,5674,95,17,46,90,13
15,6178,129,25,55,81,9
4,19821,303,63,278,471,25
2,4752,45,6,515,40,5
14,17320,212,41,617,305,30
58,587707,5238,244,7589,7685,613
1,1653,73,3,7,104,2
9,4248,69,17,63,34,1
1,1287,18,6,10,11,0
3,9897,102,10,254,113,6
1,693,6,1,6,5,1
2,4398,39,4,465,26,1
8,18276,316,65,157,247,29
1,1644,23,3,44,30,1
83,163877,1157,145,4486,1099,109
1,578,3,1,1,1,0
1,474,4,1,2,7,0
4,11276,196,24,1222,194,51
4,25651,212,33,217,437,121
2,12278,207,8,162,125,2
2,5679,122,8,62,39,13
8,28605,168,11,4694,187,12
2,2930,83,7,26,52,2
1,11150,101,16,157,145,9
3,7929,170,26,206,104,43
5,37963,136,5,727,188,4
2,5536,47,2,87,33,1
4,2372,26,5,124,11,1
1,32135,369,76,467,295,140
2,4356,119,13,36,43,14
8,32839,402,108,1591,303,96
28,22533,800,568,435,938,3
9,49598,342,34,752,441,16
1,0,0,0,0,0,0
1,3628,31,4,265,46,3
3,5094,147,5,56,367,5
1,3457,39,7,74,19,4
4,3593,97,18,33,50,13
3,0,0,0,0,0,0
3,7904,219,20,149,259,14
7,6280,125,12,60,88,9
1,1958,12,1,55,17,1
4,3222,58,7,30,14,2
3,17511,42,6,690,39,3
1,2363,16,6,136,8,0
17,43586,441,30,687,379,34
3,13924,185,23,93,128,16
14,786574,4800,335,38401,5614,907
1,718,9,2,9,7,0
5,7056,82,11,30,54,17
21,38014,403,30,207,334,18
2,2779,39,2,7,10,1
4,3921,78,13,54,37,25
1,2364,42,3,71,45,3
1,1375,14,1,54,7,0
0,0,0,0,0,0,0
3,24739,206,19,254,254,28
8,3893,58,18,113,39,4
7,14289,206,14,262,264,21
4,19222,233,9,231,232,17
16,12068,149,51,171,199,8
25,131020,1025,312,1683,1110,85
1,5449,138,13,39,88,29
5,636,23,6,1,8,0
2,33,2,1,0,1,0
1,439,5,2,6,4,0
1,611,13,1,1,2,0
1,9338,209,5,241,217,11
11,11581,238,42,58,173,29
1,4939,36,1,259,81,1
5,38364,227,17,1350,423,12
1,15544,192,24,193,154,43
1,1198,28,2,13,16,1
2,1774,35,4,40,11,0
2,114,9,2,4,12,2
2,33,1,1,2,0,0
0,0,0,0,0,0,0
2,2080,35,9,36,31,3
2,3589,60,13,39,59,5
0,0,0,0,0,0,0
3,504,8,4,4,13,0
4,1914,25,11,12,9,0
3,2400,33,13,16,24,3
3,876,32,11,7,23,3
19,307,11,7,2,12,0
3,305,7,4,14,8,0
0,0,0,0,0,0,0
12,624,20,12,12,19,0
0,0,0,0,0,0,0
1,0,0,0,0,0,0
4,12714,158,21,136,216,9
3,3702,60,10,120,26,7
4,11760,327,22,173,370,12
2,767,22,6,1,9,9
3,1124,18,5,7,7,1
6,2557,83,13,8,39,9
3,53144,331,27,192,353,60
1,889,34,9,0,9,3
2,2344,24,7,183,10,4
1,1175,19,2,39,9,0
1,2492,28,2,79,19,0
1,55960,322,21,973,465,74
3,94653,662,65,2096,909,204
5,21651,145,17,2793,90,9
5,2603,38,9,56,17,1
4,23971,185,16,1118,179,10
1,994,20,5,9,8,1
4,5342,65,8,35,32,13
11,24376,254,42,286,125,16
2,220080,1408,38,2448,2965,48
4,7351,77,18,98,38,7
2,637,9,3,102,7,1
14,1775,74,18,1,66,4
3,237,12,3,0,13,2
1,778,14,1,11,10,0
341,5243,87,18,127,26,1
1,20166,105,3,3534,190,1
1,5372,42,2,13,51,2
4,42264,626,13,2653,1011,31
4,208,5,4,1,1,0
2,4344,21,1,34,58,1
1,1084,14,1,45,21,1
2,1046,39,2,10,26,1
1,471,12,1,0,9,1
2,1666,19,3,44,17,1
3,16635,167,16,303,136,31
1,101,1,1,5,0,0
7,64933,685,31,3109,933,67
2,4181,27,2,179,30,1
4,9034,117,16,314,89,11
2,419,16,2,7,9,1
2,998,41,12,12,1,13
3,1725,12,6,58,8,2
2,1867,27,6,16,19,0
1,109,6,1,0,7,1
2,21414,202,23,380,288,26
1,3292,34,1,15,36,2
1,4145,15,3,449,25,1
12,20146,513,49,316,215,67
0,0,0,0,0,0,0
3,12069,217,11,69,236,15
1,2771,28,5,12,10,5
1,3119,50,8,40,56,5
36,139610,2015,243,2252,2791,212
2,1332,47,7,6,65,2
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1,498,10,3,1,7,1
3,575,20,4,6,18,1
2,1255,17,1,72,25,1
1,3244,45,2,12,6,1
8,3509,34,8,52,27,1
18,3751,104,30,75,40,5
1,621,8,1,67,0,0
2,1064,10,2,26,7,0
3,2864,48,9,43,25,7
4,1380,25,2,22,17,2
5,5202,83,11,33,59,6
2,2701,56,6,12,22,3
1,35965,215,2,574,282,2
4,25402,348,12,231,403,43
7,38048,494,51,1839,508,116
3,29143,242,65,725,274,24
1,4901,88,7,56,94,10
3,1286,13,6,8,6,0
3,24226,282,12,690,378,21
2,10624,93,8,130,95,8
16,11302,105,17,692,50,1
1,1996,47,7,8,59,1
0,0,0,0,0,0,0
1,5893,35,9,41,32,1
3,1710,18,3,27,12,3
0,0,0,0,0,0,0
15,6149,211,29,87,250,13
4,2644,74,17,36,69,3
2,0,0,0,0,0,0
2,2845,45,8,29,45,15
1,2698,48,11,49,45,5
4,9419,117,13,110,49,24
7,966,29,15,2,21,3
1,4549,14,2,351,11,1
4,15656,197,31,49,149,24
9,13559,231,41,64,104,17
2,3469,54,9,17,26,5
2,4658,72,2,52,141,2
1,1702,20,5,23,23,5
12,13476,238,22,175,330,16
3,12900,112,12,346,130,7
2,6222,98,9,219,90,7
1,971,15,1,16,8,1
3,647,24,2,7,11,0
16,9276,168,35,49,128,11
1,5247,48,11,42,32,6
5,5673,42,10,227,20,2
3,23994,223,24,319,160,54
1,2435,13,2,574,19,0
7,52194,503,27,2332,652,25
2,13556,183,10,97,101,12
0,0,0,0,0,0,0
85,251899,1917,144,1419,1010,396
2,5164,48,4,49,37,4
2,4579,56,10,120,57,19
1,930,24,2,2,4,2
2,8217,136,4,1138,148,3
1,339,6,1,5,5,1
2,4668,41,4,80,66,2
4,16201,111,12,128,148,15
11,1583,31,13,44,19,1
14,90362,973,67,11583,1090,128
2,5344,96,2,26,137,4
3,720,27,3,3,34,3
4,8949,57,7,171,80,3
4,11160,241,47,292,302,38
4,341,4,1,6,2,0
2,818,15,3,11,8,1
2,1534,7,3,13,3,0
19,15015,229,50,255,203,18
24,85225,621,121,6762,774,137
2,712,10,4,70,2,0
1,1103,16,6,5,10,3
0,0,0,0,0,0,0
2,7683,113,9,436,148,8
3,361,12,4,0,15,1
1,0,0,0,0,0,0
4,6492,41,5,132,20,2
2,364,4,2,0,3,0
1,301,9,1,2,8,1
1,502,16,3,7,7,0
2,1016,28,12,13,12,5
10,1555,48,12,18,13,1
1,449,7,1,10,6,1
1,666,5,1,25,3,0
17,6346,288,36,123,469,10
2,0,0,0,0,0,0
3,5734,90,10,31,70,16
4,3441,41,16,13,59,3
2,207,5,4,1,3,0
5,11823,104,5,233,22,2
13,0,0,0,0,0,0
4,7311,60,6,119,96,2
2,3810,26,4,96,19,2
1,351,15,4,2,2,1
6,8141,186,62,120,136,41
4,10973,194,25,104,134,23
2,257,2,1,53,1,0
4,365,15,5,0,13,0
3,5902,86,10,17,89,7
5,8506,78,9,108,107,3
2,3878,65,8,15,32,8
2,105,1,1,1,0,0
39,11088,309,77,146,259,22
1,5994,101,5,111,49,20
2,44759,393,8,1402,446,32
1,3679,27,1,228,33,0
2,1042,4,2,30,1,0
1,152,5,1,0,3,0
2,1646,15,3,234,25,1
46,8029,270,59,459,124,14
1,27034,137,21,441,107,22
3,1464,9,3,81,9,0
8,467212,1243,48,7711,6132,60
0,0,0,0,0,0,0
1,2040,29,5,463,16,7
2,2154,39,4,21,38,3
8,30010,301,36,2102,176,26
2,3967,31,4,146,21,1
14,17614,126,22,927,82,15
2,34957,350,50,916,308,48
1,0,0,0,0,0,0
1,577,12,1,5,4,1
3,183,7,2,4,8,0
2,592,11,2,7,3,0
1,5827,128,11,34,123,11
3,2571,49,6,42,13,3
1,2100,31,4,14,20,3
1,212,5,3,0,5,0
0,0,0,0,0,0,0
1,3919,55,9,317,60,4
10,1262,32,9,11,33,1
3,2247,42,9,41,27,5
1,3118,32,4,37,22,1
1,1499,25,2,13,26,1
3,33620,171,9,1125,476,6
1,5220,64,11,140,83,17
1,691,5,1,2,1,0
0,0,0,0,0,0,0
1,874,22,2,12,28,2
2,9506,148,28,132,92,51
2,93,3,3,1,0,0
1,1706,20,3,220,10,0
2,0,0,0,0,0,0
2,1086,33,3,9,52,1
1,392,14,2,2,7,0
5,5515,147,14,126,92,17
10,62614,744,124,487,539,198
7,72403,892,52,1317,1123,48
8,19742,312,15,209,349,9
2,2580,64,3,12,27,2
1,3794,41,8,254,33,19
1,4102,54,7,17,39,19
2,5584,58,2,106,68,3
10,8922,165,30,179,65,28
18,22227,294,59,805,246,45
4,1798,36,5,20,22,3
2,30514,216,15,311,483,14
1,2936,46,13,15,40,11
2,58417,224,6,604,538,12
1,64035,215,9,610,520,1
13,25473,383,34,831,516,31
1,506,6,1,7,2,0
4,6048,59,9,51,38,16
6,4283,101,27,38,69,12
11,19333,261,36,159,187,44
2,494,14,5,0,9,0
2,7135,58,11,152,23,0
1,663,5,1,8,0,0
7,14603,238,42,104,154,50
6,813,26,9,0,18,2
12,37955,334,40,824,297,19
10,17194,229,27,367,139,30
6,27271,347,31,688,402,72
1,896,27,1,6,24,0
5,98230,1304,21,10354,2442,80
2,16582,166,7,498,323,26
6,72553,389,18,2334,408,24
1,317,6,1,11,1,0
1,4231,36,8,28,24,12
12,55563,751,49,2277,1007,39
2,5729,37,4,42,60,3
3,1278,58,7,4,31,3
5,2122,61,20,11,25,8
2,1101,49,11,8,43,7
1,391,10,2,0,5,1
2,69,2,1,5,1,0
1,1068,30,4,3,39,0
1,524,16,3,3,4,0
4,7027,30,6,137,42,1
1,1707,33,9,11,25,2
2,500,4,2,2,4,0
3,23916,132,14,866,139,14
0,0,0,0,0,0,0
0,0,0,0,0,0,0
2,6825,45,4,816,16,8
10,40260,335,31,264,273,19
1,0,0,0,0,0,0
1,408,8,3,0,7,1
0,0,0,0,0,0,0
1,3968,34,11,198,21,18
2,165,6,3,4,2,0
1,1812,12,2,62,10,2
1,346,4,2,0,1,0
12,799,24,12,4,3,1
3,6666,134,21,69,52,25
1,3793,32,3,207,43,0
1,332,14,1,2,15,1
4,16447,153,23,117,115,31
1,28,1,1,0,0,0
8,60099,281,25,1308,305,78
4,2071,29,9,37,20,2
6,5281,80,13,61,40,6
1,2512,57,6,32,30,6
5,230084,1975,85,40047,1903,159
3,10286,117,10,80,122,3
2,266,3,2,14,1,0
1,251,5,3,0,5,0
2,1000,10,3,5,11,0
1,1951,30,6,20,31,3
5,6138,102,11,63,69,19
5,6138,102,11,63,69,19
1,1321,5,1,45,6,0
2,16327,499,42,249,476,76
1,13066,92,3,227,17,1
2,3715,30,2,73,21,1
3,30199,111,12,502,318,5
6,31355,319,24,1630,307,26
2,67191,663,47,1549,542,153
3,2294,25,4,25,20,3
8,5816,96,19,68,57,7
15,34015,433,31,1128,246,31
48,73611,751,83,5283,659,34
1,1793,21,6,149,25,1
1,3911,17,1,76,18,0
3,4048,28,6,392,47,0
1,1546,15,2,305,11,0
2,42356,110,4,15763,195,4
1,1251,12,2,305,5,1
2,2619,60,7,41,65,6
2,17724,285,6,189,197,4
4,6057,85,5,11,108,4
3,3070,46,7,10,51,2
14,675023,2658,58,16979,7522,107
5,18964,329,19,94,342,18
6,5336,48,6,78,110,0
2,3331,30,8,286,35,22
5,19719,161,9,331,176,15
2,19111,114,6,2560,226,3
4,10388,74,21,420,61,9
6,4969,123,20,45,56,7
32,23504,326,55,741,131,23
9,15162,117,12,399,145,9
1,3185,38,6,49,22,2
1,1001,16,5,12,12,0
1,2755,16,1,27,26,0
4,13104,28,4,379,69,0
1,52095,231,3,4000,456,4
1,67515,363,24,3074,479,45
1,52095,231,3,4000,456,4
2,5306,66,9,107,108,13
1,2615,26,3,25,16,9
20,37251,520,62,569,453,36
10,92578,618,33,7356,1007,41
1,2240,6,1,40,9,0
1,539,8,1,56,5,1
1,3321,52,14,48,38,2
9,4709,146,20,66,120,17
15,32010,268,40,2850,282,24
4,691,22,6,2,7,3
22,5431,37,23,300,33,1
12,18410,178,35,281,213,20
13,16491,255,24,333,138,12
13,11855,164,15,343,140,6
5,192911,1861,48,18359,3110,189
1,812,16,8,9,9,0
5,1386,24,6,37,13,1
2,144,3,1,2,3,0
1,342,5,1,6,6,1
10,8049,158,29,96,97,47
2,518,10,1,13,8,1
7,17855,182,15,548,122,15
10,47709,293,32,3466,395,26
2,21794,212,2,686,386,2
10,81973,737,25,1679,1121,30
8,10968,178,25,113,220,39
1,2439,18,4,81,19,2
1,2693,44,2,7,26,1
6,14651,146,30,233,88,12
1,29,1,1,0,1,0
3,692,17,6,6,16,1
1,8896,82,7,320,161,5
2,3274,76,8,50,41,2
1,4312,34,5,137,58,2
2,434,5,2,4,3,0
6,30424,73,11,1954,247,6
3,1941,63,11,22,49,5
2,5138,42,5,247,32,5
18,99186,1166,185,9180,727,370
1,4354,57,8,303,29,3
1,497,9,1,3,4,1
4,3684,55,8,41,30,6
4,3684,55,8,41,30,6
27,83918,922,123,1008,513,122
3,18625,132,14,451,161,23
0,0,0,0,0,0,0
8,25551,256,27,234,189,19
11,34149,200,26,240,209,9
1,570,3,1,9,1,0
8,239710,1278,18,188,2172,20
39,12236,274,88,14,162,20
8,103298,1100,56,5683,1112,188
1,4172,19,2,92,30,0
20,4191,49,20,40,50,2
1,0,0,0,0,0,0
1,543,1,1,20,1,0
37,181928,1440,67,15428,1162,110
1,1144,12,1,511,6,0
1,2811,22,3,67,17,0
7,13385,198,41,205,123,22
5,1651,30,9,7,19,4
4,968,26,6,12,27,4
0,0,0,0,0,0,0
13,20564,189,37,605,156,4
1,1527,22,3,12,11,4
1,944,15,1,11,5,0
5,5776,108,21,69,32,9
9,9061,229,37,503,229,15
1,4553,43,3,246,42,1
4,2395,46,9,43,16,18
1,13489,60,4,222,76,3
4,670,12,5,31,9,0
2,6146,62,2,92,105,1
8,4773,93,13,42,84,9
12,35186,441,66,1646,231,85
6,8013,102,19,99,63,11
4,1553,53,12,47,50,9
13,0,0,0,0,0,0
1,2065,13,1,32,10,1
19,91334,549,94,6951,730,137
1,1602,14,3,9,12,1
2,201,2,1,4,1,0
1,360,6,1,11,6,1
1,661,9,1,9,9,0
1,1081,23,1,13,28,0
1,3285,59,6,26,66,7
1,810,19,3,11,22,1
1,239,4,1,3,4,0
1,235,4,1,3,3,0
1,136,1,1,1,1,0
1,656,14,1,12,17,1
1,23212,327,9,435,381,3
6,516,5,2,8,8,0
6,31743,489,31,571,472,38
6,6844,112,25,148,56,9
16,24681,219,42,5227,213,31
16,24681,219,42,5227,213,31
6,63091,531,52,2227,498,32
1,4110,53,6,136,44,2
1,535,4,1,6,5,0
7,6367,44,12,602,45,0
25,174973,883,51,4158,1634,7
4,5045,40,10,287,52,0
1,1401,9,3,424,7,1
1,1310,10,1,27,14,1
3,10899,87,10,209,107,15
4,9257,155,53,49,91,24
5,29974,246,14,2009,300,7
1,11180,64,4,255,70,4
1,371,17,5,0,7,3
2,4997,84,12,98,93,6
1,19085,243,33,180,238,50
0,0,0,0,0,0,0
1,489,3,2,3,1,0
3,11148,109,16,651,82,13
2,2489,19,2,46,38,1
9,44988,382,31,2319,281,37
11,4161,65,13,21,47,4
2,2785,19,4,135,25,1
4,13672,59,10,325,142,10
6,15953,79,6,277,59,1
1,6727,69,4,306,42,3
142,563999,3818,436,4553,5121,649
3,355,19,6,1,10,1
3,355,19,6,1,10,1
1,173,7,3,0,9,0
2,8065,107,11,438,69,5
0,0,0,0,0,0,0
4,359,9,5,6,3,2
1,1747,15,3,261,30,3
15,6971,215,30,598,57,26
1,832,13,1,11,9,1
8,23054,325,18,261,324,23
1,4461,53,3,149,18,3
19,13402,283,38,92,135,55
2,492,9,3,4,2,0
3,4688,74,12,46,66,5
14,337819,1256,143,19405,1495,251
8,14726,249,30,1146,461,23
2,2106,60,2,18,38,4
1,73,4,2,0,3,0
2,1435,22,6,29,23,1
1,1157,13,3,26,7,1
21,1658,58,21,108,43,3
1,0,0,0,0,0,0
7,6053,101,15,78,52,18
2,1316,45,5,53,31,2
3,2378,74,4,16,25,5
15,1157,17,13,42,4,0
3,0,0,0,0,0,0
2,862,16,3,2,9,1
1,831,5,2,167,3,0
5,1635,58,23,7,64,1
8,16150,170,44,220,154,8
2,48311,135,18,782,299,17
8,16150,170,44,220,154,8
5,2823,15,2,75,20,1
6,14838,149,30,416,118,19
62,143837,1010,91,9149,1136,86
8,151038,735,45,6723,1256,133
4,17902,110,6,813,128,8
1,31,1,1,1,1,0
2,300,6,2,5,5,0
3,2719,42,6,46,29,4
4,4537,91,8,37,79,5
1,427,8,3,21,6,0
0,0,0,0,0,0,0
2,1029,9,4,3,12,0
11,48826,380,22,649,669,25
6,6043,70,8,22,51,1
4,12930,93,15,434,64,15
1,63,2,1,0,2,0
2,1808,32,7,15,16,3
4,1363,33,7,10,25,4
1,1016,19,1,4,18,1
10,3861,58,17,29,27,3
2,1328,15,5,243,7,3
1,1806,15,4,226,9,5
2,213,2,1,8,0,0
6,42134,492,60,3674,372,85
1,5445,119,28,29,106,11
2,0,0,0,0,0,0
2,0,0,0,0,0,0
5,15272,115,7,132,134,7
4,6460,88,20,77,87,4
6,16375,209,33,162,194,29
1,4644,61,10,147,49,4
8,10764,64,14,253,102,22
10,29422,438,35,1042,428,71
7,12844,247,32,407,219,32
1,445,9,3,9,7,0
1,467,7,1,1,4,1
1,818,22,2,5,7,1
15,169853,1051,47,2290,1872,133
16,9956,125,31,189,113,0
7,68048,256,18,2749,654,9
1,700,14,1,7,11,1
3,18432,263,23,730,284,23
2,1153,6,2,2,5,0
3,38350,407,27,827,406,19
1,3679,7,1,15,9,0
0,0,0,0,0,0,0
8,188890,917,96,7705,1456,113
14,207342,1293,279,3855,1539,641
1,1744,10,1,8,20,1
2,13242,86,1,192,137,1
18,57328,327,26,1443,538,27
2,5847,81,22,422,36,50
7,10649,152,24,27,81,12
2,2076,25,7,32,4,1
2,6125,68,6,16,31,13
2,2607,27,4,70,28,3
2,6188,148,19,77,71,32
1,318,3,1,6,4,0
1,450,4,2,257,2,0
1,1103,15,5,14,3,2
7,183463,1758,198,1877,1632,306
2,3859,17,3,72,27,1
3,15593,87,15,1542,71,17
7,13941,135,18,348,162,9
1,1504,15,1,53,2,0
4,11451,52,15,686,49,0
2,848,33,6,9,37,6
5,39731,213,10,655,322,16
4,16010,293,14,304,147,24
1,0,0,0,0,0,0
1,909,7,1,1,2,0
2,6431,27,2,188,53,0
2,13215,99,8,659,109,6
5,25258,183,13,1048,214,22
2,13648,272,22,220,240,41
27,8078,139,33,206,136,6
8,424,21,8,2,7,0
2,3444,58,3,72,47,3
5,4451,75,5,29,54,6
2,3351,78,11,87,52,22
1,564,7,2,421,2,0
4,19852,305,19,365,327,58
11,12701,137,26,229,147,11
6,144247,650,72,8783,1743,112
0,0,0,0,0,0,0
1,177,3,1,3,2,0
5,20293,286,31,52,438,20
0,0,0,0,0,0,0
1,1197,16,6,7,3,1
19,17482,320,76,292,238,16
11,88097,559,15,2218,883,10
16,55777,649,62,1126,757,105
2,8025,52,3,586,73,3
0,0,0,0,0,0,0
1,2067,10,2,5987,5,0
4,51834,1729,5,34,2729,4
14,11095,111,21,765,116,14
0,0,0,0,0,0,0
3,11741,80,14,95,47,9
0,0,0,0,0,0,0
2,4277,74,9,34,35,26
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1,0,0,0,0,0,0
8,2474,29,6,27,36,0
0,0,0,0,0,0,0
1,2998,17,3,71,7,4
1,3912,17,5,86,18,1
5,7180,36,15,23,23,1
0,0,0,0,0,0,0
2,3156,26,4,23,12,2
9,24183,132,24,345,218,11
0,0,0,0,0,0,0
2,1813,12,3,42,11,1
0,0,0,0,0,0,0
1,0,0,0,0,0,0
24,75785,596,36,9571,680,10
13,13424,129,35,204,58,14
0,0,0,0,0,0,0
1,10534,109,3,380,146,1
4,38772,144,4,1228,256,1
1,1757,30,1,30,22,2
2,16357,74,8,975,80,10
1,9457,151,12,97,176,34
1,5813,132,11,134,167,29
1,1716,31,6,20,20,5
0,0,0,0,0,0,0
0,0,0,0,0,0,0
2,528,8,2,4,6,1
6,3547,41,14,197,24,1
59,465344,1441,251,7591,1516,78
2,1115,24,3,33,12,2
7,2322,53,7,19,6,0
1,635,22,2,14,13,0
1,8271,124,13,103,120,43
11,3387,54,11,223,48,3
2,103,4,1,0,3,0
2,4812,117,30,52,71,10
9,8883,99,2,124,96,2
3,5165,41,3,30,64,1
1,836,14,1,1,9,1
2,693,33,10,2,14,2
3,1368,31,7,21,26,2
3,2716,42,8,16,35,5
2,2582,38,6,34,7,1
8,93755,646,33,3474,513,80
12,33062,322,42,1925,342,41
7,59843,384,33,7570,376,64
2,6198,25,2,107,22,0
12,84091,689,26,3043,655,54
3,15602,188,18,271,212,8
1,7260,44,6,1019,71,2
0,0,0,0,0,0,0
2,140,2,2,2,0,0
2,474,10,2,4,4,0
3,889,13,4,10,9,0
2,42414,189,13,8043,359,16
2,5981,226,3,69,379,4
2,845,7,1,61,15,1
4,37054,226,6,1569,368,3
5,48258,310,21,2098,384,20
11,21360,179,25,2070,205,20
5,2006,22,5,274,20,1
