arch_smells,design_smells,loc,arch_sd,design_sd
4,73,9798,0.408246581,7.450500102
75,1244,85191,0.880374687,14.60248148
80,1312,89430,0.8945544,14.67069216
24,73,8194,2.928972419,8.908957774
13,105,13265,0.980022616,7.915567282
24,73,8194,2.928972419,8.908957774
12,49,7382,1.625575725,6.637767543
14,41,4302,3.254300325,9.530450953
1,22,1957,0.510986203,11.24169647
8,55,6161,1.298490505,8.92712222
23,93,12687,1.812879325,7.330338141
5,37,7236,0.690989497,5.113322278
0,7,554,0,12.63537906
2,140,13140,0.152207002,10.65449011
10,67,11143,0.897424392,6.012743426
8,38,11384,0.702740689,3.338018271
1,5,1316,0.759878419,3.799392097
16,342,51155,0.3127749,6.685563484
3,29,8341,0.359669104,3.476801343
7,88,5510,1.270417423,15.97096189
94,327,40165,2.340346072,8.141416656
0,0,174,0,0
0,20,2163,0,9.246417013
7,41,4252,1.646284102,9.642521167
47,277,30846,1.523698373,8.980094664
88,405,38307,2.297230271,10.57248023
2,133,11001,0.181801654,12.08981002
13,24,4713,2.758328029,5.092297899
20,206,24833,0.805379938,8.295413361
119,1371,59137,2.012276578,23.18345537
68,232,21384,3.179947624,10.84923307
1,44,2243,0.445831476,19.61658493
1,14,3766,0.265533723,3.717472119
0,12,2229,0,5.383580081
4,175,13509,0.296098897,12.95432675
259,1107,208215,1.243906539,5.31661984
0,2,899,0,2.224694105
1,39,3439,0.290782204,11.34050596
18,292,43865,0.410349937,6.656787872
1,28,7389,0.135336311,3.789416701
30,761,55432,0.541203637,13.72853226
135,354,54065,2.496994359,6.547674096
14,227,30469,0.459483409,7.45019528
16,150,19233,0.831903499,7.799095305
15,127,6393,2.346316283,19.86547787
15,126,27003,0.555493834,4.666148206
0,9,1195,0,7.531380753
64,127,24943,2.565850138,5.091608868
3,103,11650,0.25751073,8.841201717
0,6,1564,0,3.836317136
0,9,1662,0,5.415162455
9,40,4459,2.018389773,8.970621216
7,101,11274,0.620897641,8.958665957
16,132,21197,0.754823796,6.227296316
18,136,27064,0.665090157,5.025125628
0,18,511,0,35.22504892
3,409,100524,0.029843619,4.068680116
80,484,55736,1.435338022,8.683795034
85,1250,227634,0.373406433,5.491271075
7,308,21058,0.332415234,14.6262703
1,17,1120,0.892857143,15.17857143
17,59,7394,2.299161482,7.979442791
14,107,8511,1.64493009,12.57196569
9,71,7473,1.204335608,9.500869798
6,296,13318,0.450518096,22.22555939
1,260,5750,0.173913043,45.2173913
6,33,4139,1.449625513,7.972940324
0,4,303,0,13.20132013
0,1,253,0,3.95256917
3,29,7428,0.403877221,3.904146473
11,43,4061,2.70869244,10.58852499
337,4662,388227,0.868048848,12.00843836
34,186,17660,1.925254813,10.53227633
0,12,4956,0,2.421307506
0,3,710,0,4.225352113
0,17,2722,0,6.245407788
2,27,4014,0.498256104,6.726457399
1,5,1371,0.729394602,3.646973012
1,17,652,1.533742331,26.07361963
2,24,3620,0.552486188,6.629834254
0,3,761,0,3.94218134
4,27,911,4.390779363,29.6377607
4,92,3870,1.033591731,23.77260982
42,481,79791,0.526375155,6.0282488
2,82,11064,0.18076645,7.41142444
1,36,5200,0.192307692,6.923076923
0,5,207,0,24.15458937
157,413,25705,6.107761136,16.06691305
1,22,3323,0.300932892,6.620523623
5,2724,370170,0.013507307,7.358781101
0,1,745,0,1.342281879
25,240,14337,1.743739973,16.73990375
1,14,543,1.841620626,25.78268877
182,1890,202229,0.899969836,9.345840606
11,176,17016,0.6464504,10.34320639
1,48,2823,0.354233085,17.0031881
73,877,76797,0.950557965,11.41971692
20,47,6421,3.114779629,7.319732129
6,275,103388,0.058033814,2.659883159
169,695,73677,2.293795893,9.43306595
72,234,19852,3.626838606,11.78722547
11,75,4490,2.449888641,16.70378619
32,178,11488,2.78551532,15.49442897
20,46,4878,4.100041,9.430094301
2,117,54448,0.036732295,2.148839259
15,64,9948,1.507840772,6.433453961
0,2,577,0,3.466204506
80,379,41996,1.904943328,9.024669016
0,10,795,0,12.57861635
4,51,6710,0.596125186,7.600596125
0,4,870,0,4.597701149
0,7,941,0,7.438894793
4,16,4273,0.936110461,3.744441844
7,137,15789,0.443346634,8.676926974
122,7581,675559,0.180591184,11.22181778
1,82,8587,0.116455107,9.549318738
0,5,1062,0,4.708097928
2,26,1135,1.762114537,22.90748899
2,28,2214,0.903342367,12.64679313
42,731,91152,0.460768826,8.019571704
22,273,17168,1.281453868,15.90167754
0,2,524,0,3.816793893
75,1589,81046,0.92540039,19.60614959
526,7301,1016693,0.517363649,7.181125472
226,3191,388692,0.581437231,8.209584967
0,12,2171,0,5.527406725
0,23,7360,0,3.125
166,887,65748,2.524791629,13.49090467
0,8,1118,0,7.155635063
4,47,3759,1.064112796,12.50332535
0,0,308,0,0
3,36,2272,1.320422535,15.84507042
0,14,892,0,15.69506726
31,210,19468,1.592356688,10.7869324
0,0,755,0,0
54,1032,70458,0.766414034,14.64702376
1,36,4031,0.2480774,8.930786405
14,84,10564,1.325255585,7.95153351
8,36,3110,2.572347267,11.5755627
24,175,10714,2.240059735,16.3337689
12,35,5889,2.037697402,5.943284089
10,58,9270,1.078748652,6.256742179
31,261,22766,1.361679698,11.46446455
1,14,131,7.633587786,106.870229
1,25,1185,0.843881857,21.09704641
6,24,3158,1.899936669,7.599746675
10,84,9601,1.041558171,8.749088637
19,53,8359,2.272999163,6.340471348
1,13,3597,0.278009452,3.61412288
4,423,31979,0.125082085,13.2274305
317,2871,342985,0.924238669,8.370628453
0,7,1095,0,6.392694064
1,50,10688,0.093562874,4.678143713
73,235,26730,2.731013842,8.791619903
21,155,20227,1.038216246,7.66302467
0,15,963,0,15.57632399
21,177,22689,0.925558641,7.801137115
22,305,45495,0.483569623,6.70403341
2,26,1329,1.504890895,19.56358164
2,34,4777,0.418672807,7.117437722
48,346,84985,0.564805554,4.071306701
14,258,33783,0.414409614,7.636977178
3,22,4991,0.601081948,4.407934282
0,15,963,0,15.57632399
66,922,111622,0.591281289,8.260020426
55,1102,225982,0.243382216,4.876494588
0,45,5429,0,8.288819304
16,108,8006,1.998501124,13.48988259
14,102,10916,1.28252107,9.344082081
2,16,697,2.869440459,22.95552367
72,220,23271,3.093979631,9.453826651
71,250,37436,1.896570146,6.678063896
19,165,36819,0.516037915,4.481381895
2,57,9334,0.214270409,6.106706664
100,442,80751,1.238374757,5.473616426
18,185,26105,0.68952308,7.086764988
2,31,3193,0.626370185,9.708737864
95,1096,118690,0.800404415,9.234139355
85,2214,58493,1.453165336,37.85068299
97,524,43357,2.237239661,12.08570704
10,70,4144,2.413127413,16.89189189
0,12,1957,0,6.13183444
24,173,8097,2.964060763,21.365938
2,15,1588,1.259445844,9.445843829
77,281,26212,2.937585839,10.72028079
7,80,7264,0.963656388,11.01321586
37,66,11323,3.267685242,5.828843946
17,57,5852,2.904989747,9.74025974
108,742,67188,1.607429898,11.04363875
18,34,6733,2.673399673,5.049754938
21,56,12290,1.708706265,4.556550041
0,2,526,0,3.802281369
4,96,12971,0.308380233,7.401125588
0,9,1266,0,7.109004739
0,13,2515,0,5.168986083
7,81,5027,1.392480605,16.11298985
4,47,3087,1.295756398,15.22513767
2,22,3457,0.578536303,6.363899335
6,21,1810,3.314917127,11.60220994
1,17,810,1.234567901,20.98765432
57,1132,153401,0.371575153,7.379352155
11,265,29158,0.377254956,9.088414843
118,208,29338,4.022087395,7.089781171
1,225,33994,0.029416956,6.618815085
55,588,89362,0.615474139,6.579978067
0,33,3720,0,8.870967742
496,7828,923924,0.536840693,8.472558349
24,350,56359,0.425841481,6.210188257
