Implementation smell,Namespace,Class,File,Method,Description
Long Statement,MediatR.Extensions.Autofac,AutofacMediatorBuilder,D:\newReposJune17\bernos_MediatR.Extensions\MediatR.Extensions.Autofac\AutofacMediatorBuilder.cs,RegisterRequestDecorator,The length of the statement  "	_builder.RegisterGenericDecorator (decoratorType' typeof(IRequestHandler<' >)' fromKey: _key).Named (name' typeof(IRequestHandler<' >)); " is 136.
Long Statement,MediatR.Extensions.Autofac,AutofacMediatorBuilder,D:\newReposJune17\bernos_MediatR.Extensions\MediatR.Extensions.Autofac\AutofacMediatorBuilder.cs,RegisterAsyncRequestDecorator,The length of the statement  "	_builder.RegisterGenericDecorator (decoratorType' typeof(IAsyncRequestHandler<' >)' fromKey: _asyncKey).Named (name' typeof(IAsyncRequestHandler<' >)); " is 151.
Long Statement,MediatR.Extensions.Autofac,AutofacMediatorBuilder,D:\newReposJune17\bernos_MediatR.Extensions\MediatR.Extensions.Autofac\AutofacMediatorBuilder.cs,RegisterRequestHandlersFromAssembly,The length of the statement  "	_builder.RegisterAssemblyTypes (assembly).As (t => t.GetInterfaces ().Where (i => i.IsClosedTypeOf (typeof(IRequestHandler<' >))).Select (i => new KeyedService (HandlerKey' i))); " is 178.
Long Statement,MediatR.Extensions.Autofac,AutofacMediatorBuilder,D:\newReposJune17\bernos_MediatR.Extensions\MediatR.Extensions.Autofac\AutofacMediatorBuilder.cs,RegisterRequestHandler,The length of the statement  "	var services = type.GetInterfaces ().Where (i => i.IsClosedTypeOf (typeof(IRequestHandler<' >))).Select (i => new KeyedService (HandlerKey' i) as Service); " is 155.
Long Statement,MediatR.Extensions.Autofac,AutofacMediatorBuilder,D:\newReposJune17\bernos_MediatR.Extensions\MediatR.Extensions.Autofac\AutofacMediatorBuilder.cs,RegisterAsyncRequestHandler,The length of the statement  "	var services = type.GetInterfaces ().Where (i => i.IsClosedTypeOf (typeof(IAsyncRequestHandler<' >))).Select (i => new KeyedService (AsyncHandlerKey' i) as Service); " is 165.
Long Statement,MediatR.Extensions.Autofac,AutofacMediatorBuilder,D:\newReposJune17\bernos_MediatR.Extensions\MediatR.Extensions.Autofac\AutofacMediatorBuilder.cs,RegisterAsyncRequestHandlersFromAssembly,The length of the statement  "	_builder.RegisterAssemblyTypes (assembly).As (t => t.GetInterfaces ().Where (i => i.IsClosedTypeOf (typeof(IAsyncRequestHandler<' >))).Select (i => new KeyedService (AsyncHandlerKey' i))); " is 188.
Long Statement,MediatR.Extensions.Autofac,AutofacMediatorBuilder,D:\newReposJune17\bernos_MediatR.Extensions\MediatR.Extensions.Autofac\AutofacMediatorBuilder.cs,RegisterNotificationHandler,The length of the statement  "	_builder.RegisterType (notificationHandlerType).As (notificationHandlerType.GetInterfaces ().Where (i => i.IsClosedTypeOf (typeof(INotificationHandler<>))).ToArray ()); " is 168.
Long Statement,MediatR.Extensions.Autofac,AutofacMediatorBuilder,D:\newReposJune17\bernos_MediatR.Extensions\MediatR.Extensions.Autofac\AutofacMediatorBuilder.cs,RegisterAsyncNotificationHandler,The length of the statement  "	_builder.RegisterType (notificationHandlerType).As (notificationHandlerType.GetInterfaces ().Where (i => i.IsClosedTypeOf (typeof(IAsyncNotificationHandler<>))).ToArray ()); " is 173.
Long Statement,MediatR.Extensions.Autofac,AutofacMediatorBuilder,D:\newReposJune17\bernos_MediatR.Extensions\MediatR.Extensions.Autofac\AutofacMediatorBuilder.cs,RegisterNotificationHandlersFromAssembly,The length of the statement  "	_builder.RegisterAssemblyTypes (assembly).As (t => t.GetInterfaces ().Where (i => i.IsClosedTypeOf (typeof(INotificationHandler<>))).ToArray ()); " is 145.
Long Statement,MediatR.Extensions.Autofac,AutofacMediatorBuilder,D:\newReposJune17\bernos_MediatR.Extensions\MediatR.Extensions.Autofac\AutofacMediatorBuilder.cs,RegisterAsyncNotificationHandlersFromAssembly,The length of the statement  "	_builder.RegisterAssemblyTypes (assembly).As (t => t.GetInterfaces ().Where (i => i.IsClosedTypeOf (typeof(IAsyncNotificationHandler<>))).ToArray ()); " is 150.
Long Statement,MediatR.Extensions.Autofac,AutofacMediatorBuilder,D:\newReposJune17\bernos_MediatR.Extensions\MediatR.Extensions.Autofac\AutofacMediatorBuilder.cs,BuildMediator,The length of the statement  "	_builder.RegisterGenericDecorator (typeof(AsyncWrapperRequestHandler<' >)' typeof(IAsyncRequestHandler<' >)' fromKey: _asyncKey); " is 129.
