Implementation smell,Namespace,Class,File,Method,Description
Long Parameter List,OrchardCore.OpenId.YesSql.Stores,OpenIdAuthorizationStore<TAuthorization>,C:\research\architectureSmells\repos\OrchardCMS_Brochard\src\OrchardCore\OrchardCore.OpenId.Core\YesSql\Stores\OpenIdAuthorizationStore.cs,FindAsync,The method has 5 parameters. Parameters: subject' client' status' type' cancellationToken
Long Parameter List,OrchardCore.OpenId.YesSql.Stores,OpenIdAuthorizationStore<TAuthorization>,C:\research\architectureSmells\repos\OrchardCMS_Brochard\src\OrchardCore\OrchardCore.OpenId.Core\YesSql\Stores\OpenIdAuthorizationStore.cs,FindAsync,The method has 6 parameters. Parameters: subject' client' status' type' scopes' cancellationToken
Long Parameter List,OrchardCore.OpenId.YesSql.Stores,OpenIdTokenStore<TToken>,C:\research\architectureSmells\repos\OrchardCMS_Brochard\src\OrchardCore\OrchardCore.OpenId.Core\YesSql\Stores\OpenIdTokenStore.cs,FindAsync,The method has 5 parameters. Parameters: subject' client' status' type' cancellationToken
Long Statement,OrchardCore.OpenId.YesSql.Stores,OpenIdApplicationStore<TApplication>,C:\research\architectureSmells\repos\OrchardCMS_Brochard\src\OrchardCore\OrchardCore.OpenId.Core\YesSql\Stores\OpenIdApplicationStore.cs,FindByIdAsync,The length of the statement  "            return _session.Query<TApplication' OpenIdApplicationIndex>(index => index.ApplicationId == identifier).FirstOrDefaultAsync(); " is 126.
Long Statement,OrchardCore.OpenId.YesSql.Stores,OpenIdApplicationStore<TApplication>,C:\research\architectureSmells\repos\OrchardCMS_Brochard\src\OrchardCore\OrchardCore.OpenId.Core\YesSql\Stores\OpenIdApplicationStore.cs,FindByClientIdAsync,The length of the statement  "            return _session.Query<TApplication' OpenIdApplicationIndex>(index => index.ClientId == identifier).FirstOrDefaultAsync(); " is 121.
Long Statement,OrchardCore.OpenId.YesSql.Stores,OpenIdApplicationStore<TApplication>,C:\research\architectureSmells\repos\OrchardCMS_Brochard\src\OrchardCore\OrchardCore.OpenId.Core\YesSql\Stores\OpenIdApplicationStore.cs,ListInRoleAsync,The length of the statement  "            return ImmutableArray.CreateRange(await _session.Query<TApplication' OpenIdAppByRoleNameIndex>(index => index.RoleName == role).ListAsync()); " is 141.
Long Statement,OrchardCore.OpenId.YesSql.Stores,OpenIdScopeStore<TScope>,C:\research\architectureSmells\repos\OrchardCMS_Brochard\src\OrchardCore\OrchardCore.OpenId.Core\YesSql\Stores\OpenIdScopeStore.cs,FindByNamesAsync,The length of the statement  "            return (await _session.Query<TScope' OpenIdScopeIndex>(index => index.Name.IsIn(names)).ListAsync()).ToImmutableArray(); " is 120.
Long Statement,OrchardCore.OpenId.YesSql.Stores,OpenIdTokenStore<TToken>,C:\research\architectureSmells\repos\OrchardCMS_Brochard\src\OrchardCore\OrchardCore.OpenId.Core\YesSql\Stores\OpenIdTokenStore.cs,FindBySubjectAsync,The length of the statement  "            return ImmutableArray.CreateRange(await _session.Query<TToken' OpenIdTokenIndex>(index => index.Subject == subject).ListAsync()); " is 129.
Magic Number,OrchardCore.OpenId.YesSql.Migrations,OpenIdMigrations,C:\research\architectureSmells\repos\OrchardCMS_Brochard\src\OrchardCore\OrchardCore.OpenId.Core\YesSql\Migrations\OpenIdMigrations.cs,Create,The following statement contains a magic number: SchemaBuilder.CreateMapIndexTable(nameof(OpenIdApplicationIndex)' table => table                  .Column<string>(nameof(OpenIdApplicationIndex.ApplicationId)' column => column.WithLength(48))                  .Column<string>(nameof(OpenIdApplicationIndex.ClientId)' column => column.Unique()));
Magic Number,OrchardCore.OpenId.YesSql.Migrations,OpenIdMigrations,C:\research\architectureSmells\repos\OrchardCMS_Brochard\src\OrchardCore\OrchardCore.OpenId.Core\YesSql\Migrations\OpenIdMigrations.cs,Create,The following statement contains a magic number: SchemaBuilder.CreateMapIndexTable(nameof(OpenIdAuthorizationIndex)' table => table                  .Column<string>(nameof(OpenIdAuthorizationIndex.AuthorizationId)' column => column.WithLength(48))                  .Column<string>(nameof(OpenIdAuthorizationIndex.ApplicationId)' column => column.WithLength(48))                  .Column<string>(nameof(OpenIdAuthorizationIndex.Status))                  .Column<string>(nameof(OpenIdAuthorizationIndex.Subject))                  .Column<string>(nameof(OpenIdAuthorizationIndex.Type)));
Magic Number,OrchardCore.OpenId.YesSql.Migrations,OpenIdMigrations,C:\research\architectureSmells\repos\OrchardCMS_Brochard\src\OrchardCore\OrchardCore.OpenId.Core\YesSql\Migrations\OpenIdMigrations.cs,Create,The following statement contains a magic number: SchemaBuilder.CreateMapIndexTable(nameof(OpenIdAuthorizationIndex)' table => table                  .Column<string>(nameof(OpenIdAuthorizationIndex.AuthorizationId)' column => column.WithLength(48))                  .Column<string>(nameof(OpenIdAuthorizationIndex.ApplicationId)' column => column.WithLength(48))                  .Column<string>(nameof(OpenIdAuthorizationIndex.Status))                  .Column<string>(nameof(OpenIdAuthorizationIndex.Subject))                  .Column<string>(nameof(OpenIdAuthorizationIndex.Type)));
Magic Number,OrchardCore.OpenId.YesSql.Migrations,OpenIdMigrations,C:\research\architectureSmells\repos\OrchardCMS_Brochard\src\OrchardCore\OrchardCore.OpenId.Core\YesSql\Migrations\OpenIdMigrations.cs,Create,The following statement contains a magic number: SchemaBuilder.CreateMapIndexTable(nameof(OpenIdScopeIndex)' table => table                  .Column<string>(nameof(OpenIdScopeIndex.Name)' column => column.Unique())                  .Column<string>(nameof(OpenIdScopeIndex.ScopeId)' column => column.WithLength(48)));
Magic Number,OrchardCore.OpenId.YesSql.Migrations,OpenIdMigrations,C:\research\architectureSmells\repos\OrchardCMS_Brochard\src\OrchardCore\OrchardCore.OpenId.Core\YesSql\Migrations\OpenIdMigrations.cs,Create,The following statement contains a magic number: SchemaBuilder.CreateMapIndexTable(nameof(OpenIdTokenIndex)' table => table                  .Column<string>(nameof(OpenIdTokenIndex.TokenId)' column => column.WithLength(48))                  .Column<string>(nameof(OpenIdTokenIndex.ApplicationId)' column => column.WithLength(48))                  .Column<string>(nameof(OpenIdTokenIndex.AuthorizationId)' column => column.WithLength(48))                  .Column<DateTimeOffset>(nameof(OpenIdTokenIndex.ExpirationDate))                  .Column<string>(nameof(OpenIdTokenIndex.ReferenceId))                  .Column<string>(nameof(OpenIdTokenIndex.Status))                  .Column<string>(nameof(OpenIdTokenIndex.Subject))                  .Column<string>(nameof(OpenIdTokenIndex.Type)));
Magic Number,OrchardCore.OpenId.YesSql.Migrations,OpenIdMigrations,C:\research\architectureSmells\repos\OrchardCMS_Brochard\src\OrchardCore\OrchardCore.OpenId.Core\YesSql\Migrations\OpenIdMigrations.cs,Create,The following statement contains a magic number: SchemaBuilder.CreateMapIndexTable(nameof(OpenIdTokenIndex)' table => table                  .Column<string>(nameof(OpenIdTokenIndex.TokenId)' column => column.WithLength(48))                  .Column<string>(nameof(OpenIdTokenIndex.ApplicationId)' column => column.WithLength(48))                  .Column<string>(nameof(OpenIdTokenIndex.AuthorizationId)' column => column.WithLength(48))                  .Column<DateTimeOffset>(nameof(OpenIdTokenIndex.ExpirationDate))                  .Column<string>(nameof(OpenIdTokenIndex.ReferenceId))                  .Column<string>(nameof(OpenIdTokenIndex.Status))                  .Column<string>(nameof(OpenIdTokenIndex.Subject))                  .Column<string>(nameof(OpenIdTokenIndex.Type)));
