Implementation smell,Namespace,Class,File,Method,Description
Magic Number,OrchardCore.Diagnostics,DiagnosticsStartupFilter,C:\research\architectureSmells\repos\OrchardCMS_Brochard\src\OrchardCore.Modules\OrchardCore.Diagnostics\DiagnosticsStartupFilter.cs,Configure,The following statement contains a magic number: return app =>              {                  if (!_hostEnvironment.IsDevelopment())                  {                      app.UseExceptionHandler("/Error");                  }                    app.UseStatusCodePagesWithReExecute("/Error/{0}");                    app.Use(async (context' next) =>                  {                      await next();                        if (context.Response.StatusCode < 200 || context.Response.StatusCode >= 400)                      {                          if (_contentTypeProvider.TryGetContentType(context.Request.Path.Value' out var contentType))                          {                              var statusCodePagesFeature = context.Features.Get<IStatusCodePagesFeature>();                              if (statusCodePagesFeature != null)                              {                                  statusCodePagesFeature.Enabled = false;                              }                          }                      }                  });                    next(app);              };
Magic Number,OrchardCore.Diagnostics,DiagnosticsStartupFilter,C:\research\architectureSmells\repos\OrchardCMS_Brochard\src\OrchardCore.Modules\OrchardCore.Diagnostics\DiagnosticsStartupFilter.cs,Configure,The following statement contains a magic number: return app =>              {                  if (!_hostEnvironment.IsDevelopment())                  {                      app.UseExceptionHandler("/Error");                  }                    app.UseStatusCodePagesWithReExecute("/Error/{0}");                    app.Use(async (context' next) =>                  {                      await next();                        if (context.Response.StatusCode < 200 || context.Response.StatusCode >= 400)                      {                          if (_contentTypeProvider.TryGetContentType(context.Request.Path.Value' out var contentType))                          {                              var statusCodePagesFeature = context.Features.Get<IStatusCodePagesFeature>();                              if (statusCodePagesFeature != null)                              {                                  statusCodePagesFeature.Enabled = false;                              }                          }                      }                  });                    next(app);              };
