Implementation smell,Namespace,Class,File,Method,Description
Long Statement,OrchardCore.Media.Azure,Startup,C:\research\architectureSmells\repos\OrchardCMS_Brochard\src\OrchardCore.Modules\OrchardCore.Media.Azure\Startup.cs,ConfigureServices,The length of the statement  "                    var mediaCachePath = GetMediaCachePath(hostingEnvironment' DefaultMediaFileStoreCacheFileProvider.AssetsCachePath' shellSettings); " is 130.
Long Statement,OrchardCore.Media.Azure,Startup,C:\research\architectureSmells\repos\OrchardCMS_Brochard\src\OrchardCore.Modules\OrchardCore.Media.Azure\Startup.cs,GetMediaPath,The length of the statement  "            return PathExtensions.Combine(shellOptions.ShellsApplicationDataPath' shellOptions.ShellsContainerName' shellSettings.Name' assetsPath); " is 136.
Long Statement,OrchardCore.Media.Azure,Startup,C:\research\architectureSmells\repos\OrchardCMS_Brochard\src\OrchardCore.Modules\OrchardCore.Media.Azure\Startup.cs,CheckOptions,The length of the statement  "                logger.LogError("Azure Media Storage is enabled but not active because the 'ConnectionString' is missing or empty in application configuration."); " is 146.
Long Statement,OrchardCore.Media.Azure,Startup,C:\research\architectureSmells\repos\OrchardCMS_Brochard\src\OrchardCore.Modules\OrchardCore.Media.Azure\Startup.cs,CheckOptions,The length of the statement  "                logger.LogError("Azure Media Storage is enabled but not active because the 'ContainerName' is missing or empty in application configuration."); " is 143.
