Implementation smell,Namespace,Class,File,Method,Description
Long Parameter List,OrchardCore.ContentPreview.Controllers,PreviewController,C:\research\architectureSmells\repos\OrchardCMS_Brochard\src\OrchardCore.Modules\OrchardCore.ContentPreview\Controllers\PreviewController.cs,PreviewController,The method has 7 parameters. Parameters: contentManager' contentItemDisplayManager' contentManagerSession' shapeFactory' logger' authorizationService' clock
Long Statement,OrchardCore.ContentPreview.Handlers,PreviewPartHandler,C:\research\architectureSmells\repos\OrchardCMS_Brochard\src\OrchardCore.Modules\OrchardCore.ContentPreview\Handlers\PreviewPartHandler.cs,GetPattern,The length of the statement  "            var contentTypePartDefinition = contentTypeDefinition.Parts.FirstOrDefault(x => String.Equals(x.PartDefinition.Name' "PreviewPart")); " is 133.
Long Statement,OrchardCore.ContentPreview.Settings,PreviewPartSettingsDisplayDriver,C:\research\architectureSmells\repos\OrchardCMS_Brochard\src\OrchardCore.Modules\OrchardCore.ContentPreview\Settings\PreviewPartSettingsDisplayDriver.cs,UpdateAsync,The length of the statement  "                context.Updater.ModelState.AddModelError(nameof(model.Pattern)' T["Pattern doesn't contain a valid Liquid expression. Details: {0}"' string.Join(" "' errors)]); " is 160.
Magic Number,OrchardCore.ContentPreview.Controllers,PreviewController,C:\research\architectureSmells\repos\OrchardCMS_Brochard\src\OrchardCore.Modules\OrchardCore.ContentPreview\Controllers\PreviewController.cs,Render,The following statement contains a magic number: return StatusCode(500' new { errors = errors });
