Implementation smell,Namespace,Class,File,Method,Description
Long Statement,OrchardCore.HomeRoute,HomePageRoute,C:\repos\OrchardCMS_Brochard\src\OrchardCore.Modules\OrchardCore.HomeRoute\HomePageRoute.cs,GetVirtualPath,The length of the statement  "                    if (!context.AmbientValues.TryGetValue("area"' out value) || !String.Equals(value.ToString()' tokens["area"].ToString()' StringComparison.OrdinalIgnoreCase)) " is 157.
Long Statement,OrchardCore.HomeRoute,HomePageRoute,C:\repos\OrchardCMS_Brochard\src\OrchardCore.Modules\OrchardCore.HomeRoute\HomePageRoute.cs,GetVirtualPath,The length of the statement  "                    if (!context.Values.TryGetValue(entry.Key' out value) || !String.Equals(value.ToString()' entry.Value.ToString()' StringComparison.OrdinalIgnoreCase)) " is 150.
