Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
CreateNewConversation,0,2,2,0,2,19,2,0,1,0,1,1
CreateNewConversationCommandHandler,1,2,0,0,2,13,2,0,1,0.5,3,1
Conversation,0,3,1,0,2,19,3,0,1,0,2,3
ConversationDto,0,0,4,0,0,19,0,0,0,0,0,2
ConversationDenormalizer,1,2,0,0,2,19,4,0,1,0,2,2
DenormalizedConversation,0,0,2,0,0,11,0,0,0,0,0,1
ConversationStarted,1,1,3,1,1,59,1,0,1,1,0,2
