Implementation smell,Namespace,Class,File,Method,Description
Long Parameter List,clsDataLib,Database,C:\repos\vishaltillu_SCM_CORE_V3\SCM Automailer\clsDataLib\Database.cs,UpdateData,The method has 5 parameters.
Long Statement,QID.DataAccess,SQLServer,C:\repos\vishaltillu_SCM_CORE_V3\SCM Automailer\clsDataLib\SQLServer.cs,GetDataset,The length of the statement  "		if (Query.Length <= 0 || Query.ToUpper ().Contains ("UPDATE ") || Query.ToUpper ().Contains ("INSERT ") || Query.ToUpper ().Contains ("DELETE ")) { " is 147.
Complex Conditional,QID.DataAccess,SQLServer,C:\repos\vishaltillu_SCM_CORE_V3\SCM Automailer\clsDataLib\SQLServer.cs,GetDataset,The conditional expression  "Query.Length <= 0 || Query.ToUpper ().Contains ("UPDATE ") || Query.ToUpper ().Contains ("INSERT ") || Query.ToUpper ().Contains ("DELETE ")"  is complex.
