Implementation smell,Namespace,Class,File,Method,Description
Long Statement,WebApp,Startup,D:\research\architectureSmells\repos\IdentityServer_IdentityServer3.Samples\source\Clients\WebFormsClient\Startup.cs,Configuration,The length of the statement  "                            var userInfoClient = new UserInfoClient(new Uri("https://localhost:44333/core/connect/userinfo")' n.ProtocolMessage.AccessToken); " is 129.
Magic Number,WebApp,Startup,D:\research\architectureSmells\repos\IdentityServer_IdentityServer3.Samples\source\Clients\WebFormsClient\Startup.cs,Configuration,The following statement contains a magic number: app.UseCookieAuthentication(new CookieAuthenticationOptions()              {                  AuthenticationType = "Cookies"'                  ExpireTimeSpan = TimeSpan.FromMinutes(10)'                  SlidingExpiration = true              });
