Implementation smell,Namespace,Class,File,Method,Description
Complex Method,Taramon.Exceller,ExcelManager,C:\repos\Funkest_CS\Lib\Exceller_src\Taramon.Exceller\ExcelManager.cs,GetRangeValues,Cyclomatic complexity of the method is 8
Complex Method,Taramon.Exceller,ExcelManager,C:\repos\Funkest_CS\Lib\Exceller_src\Taramon.Exceller\ExcelManager.cs,SetRangeValues,Cyclomatic complexity of the method is 8
Complex Method,Taramon.Exceller,ExcelMapper,C:\repos\Funkest_CS\Lib\Exceller_src\Taramon.Exceller\ExcelMapper.cs,Read,Cyclomatic complexity of the method is 9
Long Statement,Taramon.Exceller,ExcelManager,C:\repos\Funkest_CS\Lib\Exceller_src\Taramon.Exceller\ExcelManager.cs,Create,The length of the statement  "		App.ActiveWorkbook.SaveAs (fileName' XlFileFormat.xlWorkbookNormal' System.Type.Missing' System.Type.Missing' System.Type.Missing' System.Type.Missing' XlSaveAsAccessMode.xlNoChange' System.Type.Missing' System.Type.Missing' System.Type.Missing' System.Type.Missing' System.Type.Missing); " is 288.
Long Statement,Taramon.Exceller,ExcelManager,C:\repos\Funkest_CS\Lib\Exceller_src\Taramon.Exceller\ExcelManager.cs,Open,The length of the statement  "		App.Workbooks.Open (fileName' false' false' System.Type.Missing' System.Type.Missing' System.Type.Missing' System.Type.Missing' System.Type.Missing' System.Type.Missing' false' System.Type.Missing' System.Type.Missing' false' System.Type.Missing' System.Type.Missing); " is 268.
Long Statement,Taramon.Exceller,ExcelManager,C:\repos\Funkest_CS\Lib\Exceller_src\Taramon.Exceller\ExcelManager.cs,Close,The length of the statement  "		throw new ExcelException (String.Format (CultureInfo.InvariantCulture' "Error Closing File '{0}'"' _OpenFileName)' err); " is 120.
Long Statement,Taramon.Exceller,ExcelManager,C:\repos\Funkest_CS\Lib\Exceller_src\Taramon.Exceller\ExcelManager.cs,SaveAs,The length of the statement  "		App.ActiveWorkbook.SaveAs (newFileName' XlFileFormat.xlWorkbookNormal' System.Type.Missing' System.Type.Missing' System.Type.Missing' System.Type.Missing' XlSaveAsAccessMode.xlNoChange' System.Type.Missing' System.Type.Missing' System.Type.Missing' System.Type.Missing' System.Type.Missing); " is 291.
Long Statement,Taramon.Exceller,ExcelManager,C:\repos\Funkest_CS\Lib\Exceller_src\Taramon.Exceller\ExcelManager.cs,SaveAs,The length of the statement  "		throw new ExcelException (String.Format (CultureInfo.InvariantCulture' "Can not save file as '{0}'"' newFileName)' err); " is 120.
Long Statement,Taramon.Exceller,ExcelManager,C:\repos\Funkest_CS\Lib\Exceller_src\Taramon.Exceller\ExcelManager.cs,ActivateSheet,The length of the statement  "		throw new ExcelException (String.Format (CultureInfo.InvariantCulture' "Can not activate sheet '{0}'"' sheetName)' err); " is 120.
Long Statement,Taramon.Exceller,ExcelManager,C:\repos\Funkest_CS\Lib\Exceller_src\Taramon.Exceller\ExcelManager.cs,RenameSheet,The length of the statement  "		throw new ExcelException (String.Format (CultureInfo.InvariantCulture' "Can not rename sheet '{0}' to '{1}'"' oldName' newName)' err); " is 134.
Long Statement,Taramon.Exceller,ExcelManager,C:\repos\Funkest_CS\Lib\Exceller_src\Taramon.Exceller\ExcelManager.cs,GetValue,The length of the statement  "		throw new ExcelException (String.Format (CultureInfo.InvariantCulture' "Can not access values at address '{0}'"' cellAddress)' err); " is 132.
Long Statement,Taramon.Exceller,ExcelManager,C:\repos\Funkest_CS\Lib\Exceller_src\Taramon.Exceller\ExcelManager.cs,GetRangeValues,The length of the statement  "		throw new ExcelException (String.Format (CultureInfo.InvariantCulture' "Can not get values of range '{0}:{1}'"' startCellAddress' endCellAddress)' err); " is 152.
Long Statement,Taramon.Exceller,ExcelManager,C:\repos\Funkest_CS\Lib\Exceller_src\Taramon.Exceller\ExcelManager.cs,SetValue,The length of the statement  "		throw new ExcelException (String.Format (CultureInfo.InvariantCulture' "Can not set value of cell '{0}'"' cellAddress)' err); " is 125.
Long Statement,Taramon.Exceller,ExcelManager,C:\repos\Funkest_CS\Lib\Exceller_src\Taramon.Exceller\ExcelManager.cs,SetRangeValue,The length of the statement  "		throw new ExcelException (String.Format (CultureInfo.InvariantCulture' "Can not set values of range '{0}:{1}'"' startCellAddress' endCellAddress)' err); " is 152.
Long Statement,Taramon.Exceller,ExcelManager,C:\repos\Funkest_CS\Lib\Exceller_src\Taramon.Exceller\ExcelManager.cs,SetRangeValues,The length of the statement  "		throw new ExcelException (String.Format (CultureInfo.InvariantCulture' "Can not set values of range '{0}:{1}'"' startCellAddress' endCellAddress)' err); " is 152.
