Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
DatabaseFactory,1,2,0,0,2,13,3,0,1,0,1,0
Disposable,1,3,0,0,1,23,4,0,0,0.67,0,0
IDatabaseFactory,0,1,0,0,0,4,1,1,0,0,0,5
RepositoryBase,2,10,2,0,9,64,12,4,0,0.3,2,0
ApplicationDbContext,0,2,4,0,2,26,2,0,0,0,0,3
EFSkillRepository,0,1,0,0,1,6,1,0,2,0,1,0
EFTransactionRepository,0,1,0,0,1,6,1,0,2,0,1,0
EFUserRequestRepository,0,1,0,0,1,6,1,0,2,0,1,0
EFUserSkillRepository,0,1,0,0,1,6,1,0,2,0,1,0
initial,0,2,0,0,2,74,2,0,0,0,0,0
skill,0,2,0,0,2,14,2,0,0,0,0,1
model,0,2,0,0,2,39,2,0,0,0,0,0
skillUpdate,0,2,0,0,2,11,2,0,0,0,0,0
Configuration,0,2,0,0,1,21,2,0,0,0,1,0
