Implementation smell,Namespace,Class,File,Method,Description
Magic Number,XamSvgTests,MainActivity,D:\research\architectureSmells\repos\garuma_xamsvg\XamSvgTests\MainActivity.cs,LoadImageTest,The following statement contains a magic number: var bitmap1 = SvgFactory.GetBitmap (Resources' rawID'  			                                    width: 40'  			                                    height: 69);
Magic Number,XamSvgTests,MainActivity,D:\research\architectureSmells\repos\garuma_xamsvg\XamSvgTests\MainActivity.cs,LoadImageTest,The following statement contains a magic number: var bitmap1 = SvgFactory.GetBitmap (Resources' rawID'  			                                    width: 40'  			                                    height: 69);
Magic Number,XamSvgTests,MainActivity,D:\research\architectureSmells\repos\garuma_xamsvg\XamSvgTests\MainActivity.cs,LoadImageTest,The following statement contains a magic number: var bitmap2 = SvgFactory.GetBitmap (Resources' rawID'  			                                    width: 98'  			                                    height: 98);
Magic Number,XamSvgTests,MainActivity,D:\research\architectureSmells\repos\garuma_xamsvg\XamSvgTests\MainActivity.cs,LoadImageTest,The following statement contains a magic number: var bitmap2 = SvgFactory.GetBitmap (Resources' rawID'  			                                    width: 98'  			                                    height: 98);
Magic Number,XamSvgTests,MainActivity,D:\research\architectureSmells\repos\garuma_xamsvg\XamSvgTests\MainActivity.cs,LoadImageTest,The following statement contains a magic number: var bitmap3 = SvgFactory.GetBitmap (Resources' rawID'  			                                    width: 47'  			                                    height: 32);
Magic Number,XamSvgTests,MainActivity,D:\research\architectureSmells\repos\garuma_xamsvg\XamSvgTests\MainActivity.cs,LoadImageTest,The following statement contains a magic number: var bitmap3 = SvgFactory.GetBitmap (Resources' rawID'  			                                    width: 47'  			                                    height: 32);
