Implementation smell,Namespace,Class,File,Method,Description
Long Identifier,Microsoft.AspNet.SignalR.Crank,PerformanceCounters,C:\repos\SignalR_SignalR\src\Microsoft.AspNet.SignalR.Crank\PerformanceCounters.cs,,The length of the parameter SignalRConnectionsCurrentCounter is 32.
Long Identifier,Microsoft.AspNet.SignalR.Crank,PerformanceCounters,C:\repos\SignalR_SignalR\src\Microsoft.AspNet.SignalR.Crank\PerformanceCounters.cs,,The length of the parameter SignalRConnectionsReconnectedCounter is 36.
Long Identifier,Microsoft.AspNet.SignalR.Crank,PerformanceCounters,C:\repos\SignalR_SignalR\src\Microsoft.AspNet.SignalR.Crank\PerformanceCounters.cs,,The length of the parameter SignalRConnectionsDisconnectedCounter is 37.
Long Identifier,Microsoft.AspNet.SignalR.Crank,PerformanceCounters,C:\repos\SignalR_SignalR\src\Microsoft.AspNet.SignalR.Crank\PerformanceCounters.cs,,The length of the parameter ServerTcpConnectionsEstCounter is 30.
Long Statement,Microsoft.AspNet.SignalR.Crank,ControllerHub,C:\repos\SignalR_SignalR\src\Microsoft.AspNet.SignalR.Crank\ControllerHub.cs,InitializeLog,The length of the statement  "            File.WriteAllText(Arguments.LogFile' "TestPhase'Elapsed'Connected'Reconnected'Disconnected'ServerAvailableMBytes'ServerTcpConnectionsEst" + Environment.NewLine); " is 161.
Long Statement,Microsoft.AspNet.SignalR.Crank,ControllerHub,C:\repos\SignalR_SignalR\src\Microsoft.AspNet.SignalR.Crank\ControllerHub.cs,FlushLog,The length of the statement  "                        var args = new object[] { sample.TestPhase' sample.TimeStamp' sample.Connected' sample.Reconnected' sample.Disconnected' sample.ServerAvailableMBytes' sample.ServerTcpConnectionsEst }; " is 184.
Long Statement,Microsoft.AspNet.SignalR.Crank,ControllerHub,C:\repos\SignalR_SignalR\src\Microsoft.AspNet.SignalR.Crank\ControllerHub.cs,FlushLog,The length of the statement  "                        Console.WriteLine("{1} ({0}): {2} Connected' {3} Reconnected' {4} Disconnected' {5} AvailMBytes' {6} TcpConnEst"' args); " is 120.
Long Statement,Microsoft.AspNet.SignalR.Crank,ControllerHub,C:\repos\SignalR_SignalR\src\Microsoft.AspNet.SignalR.Crank\ControllerHub.cs,SignalSample,The length of the statement  "            Samples.Add(new ConnectionsSample(Enum.GetName(typeof(ControllerEvents)' TestPhase)' timestamp' PerformanceCounters.ServerAvailableMBytes' PerformanceCounters.ServerTcpConnectionsEst)); " is 185.
Magic Number,Microsoft.AspNet.SignalR.Crank,ConnectionsSample,C:\repos\SignalR_SignalR\src\Microsoft.AspNet.SignalR.Crank\ConnectionsSample.cs,Add,The following statement contains a magic number: Debug.Assert(newStates.Length == 3);
Magic Number,Microsoft.AspNet.SignalR.Crank,Client,C:\repos\SignalR_SignalR\src\Microsoft.AspNet.SignalR.Crank\Client.cs,Main,The following statement contains a magic number: ThreadPool.SetMinThreads(Arguments.Connections' 2);
Magic Number,Microsoft.AspNet.SignalR.Crank,Client,C:\repos\SignalR_SignalR\src\Microsoft.AspNet.SignalR.Crank\Client.cs,OnSample,The following statement contains a magic number: var statesArr = new int[3]              {                  states.Where(s => s == ConnectionState.Connected).Count()'                  states.Where(s => s == ConnectionState.Reconnecting).Count()'                  states.Where(s => s == ConnectionState.Disconnected).Count()              };
Magic Number,Microsoft.AspNet.SignalR.Crank,Client,C:\repos\SignalR_SignalR\src\Microsoft.AspNet.SignalR.Crank\Client.cs,OnSample,The following statement contains a magic number: if (!Arguments.IsController)              {                  Console.WriteLine("{0} Connected' {1} Reconnected' {2} Disconnected"' statesArr[0]' statesArr[1]' statesArr[2]);              }
