Implementation smell,Namespace,Class,File,Method,Description
Magic Number,PclPal.Tool,Program,C:\repos\jskeet_DemoCode\PclPal\PclPal.Tool\Program.cs,Main,The following statement contains a magic number: switch (args[0])              {                  case "list":                      foreach (var profile in Profile.LoadAll())                      {                          Console.WriteLine("{0}: ({1})"' profile.Name' string.Join("' "' profile.SupportedRuntimes));                      }                      break;                  case "dll":                      if (args.Length != 2)                      {                          Console.WriteLine("dll command takes a single parameter; the name of the DLL to load");                          return;                      }                      DisplayDllProfile(args[1]);                      break;                  case "show":                      if (args.Length != 2)                      {                          Console.WriteLine("show command takes a single parameter; the name of the profile to display");                          return;                      }                      DisplayNamedProfile(args[1]);                      break;                  default:                      Console.WriteLine("Unknown command: '{0}'"' args[0]);                      break;              }
Magic Number,PclPal.Tool,Program,C:\repos\jskeet_DemoCode\PclPal\PclPal.Tool\Program.cs,Main,The following statement contains a magic number: switch (args[0])              {                  case "list":                      foreach (var profile in Profile.LoadAll())                      {                          Console.WriteLine("{0}: ({1})"' profile.Name' string.Join("' "' profile.SupportedRuntimes));                      }                      break;                  case "dll":                      if (args.Length != 2)                      {                          Console.WriteLine("dll command takes a single parameter; the name of the DLL to load");                          return;                      }                      DisplayDllProfile(args[1]);                      break;                  case "show":                      if (args.Length != 2)                      {                          Console.WriteLine("show command takes a single parameter; the name of the profile to display");                          return;                      }                      DisplayNamedProfile(args[1]);                      break;                  default:                      Console.WriteLine("Unknown command: '{0}'"' args[0]);                      break;              }
