Architecture smell,Project,Namespace,Cause,Responsible Classes,Participating Classes
Cyclic Dependency,SharpDoc,SharpDoc,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: SharpDoc' SharpDoc.Logging,SharpDoc.MonoCecilAssemblyManager' SharpDoc.SharpDocApp' SharpDoc.MsdnRegistry' SharpDoc.Logging.ConsoleLogger,SharpDoc.MonoCecilAssemblyManager' SharpDoc.SharpDocApp' SharpDoc.MsdnRegistry' SharpDoc.Logging.ConsoleLogger
Cyclic Dependency,SharpDoc,SharpDoc,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: SharpDoc' SharpDoc.Logging' SharpDoc.Model,SharpDoc.MonoCecilAssemblyManager' SharpDoc.SharpDocApp' SharpDoc.MsdnRegistry' SharpDoc.Logging.ConsoleLogger' SharpDoc.Model.NExtensionMethod' SharpDoc.Model.NTopic,SharpDoc.MonoCecilAssemblyManager' SharpDoc.SharpDocApp' SharpDoc.MsdnRegistry' SharpDoc.Logging.ConsoleLogger' SharpDoc.Model.NExtensionMethod' SharpDoc.Model.NTopic
Cyclic Dependency,SharpDoc,SharpDoc.Logging,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: SharpDoc.Logging' SharpDoc' SharpDoc.Model' SharpDoc,SharpDoc.Logging.ConsoleLogger' SharpDoc.MonoCecilAssemblyManager' SharpDoc.SharpDocApp' SharpDoc.MsdnRegistry' SharpDoc.Model.NExtensionMethod' SharpDoc.Model.NTopic,SharpDoc.Logging.ConsoleLogger' SharpDoc.MonoCecilAssemblyManager' SharpDoc.SharpDocApp' SharpDoc.MsdnRegistry' SharpDoc.Model.NExtensionMethod' SharpDoc.Model.NTopic
Cyclic Dependency,SharpDoc,SharpDoc.Logging,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: SharpDoc.Logging' SharpDoc.Model' SharpDoc' SharpDoc.Model' SharpDoc,SharpDoc.Logging.ConsoleLogger' SharpDoc.Model.NExtensionMethod' SharpDoc.Model.NTopic' SharpDoc.MonoCecilAssemblyManager' SharpDoc.SharpDocApp' SharpDoc.MsdnRegistry,SharpDoc.Logging.ConsoleLogger' SharpDoc.Model.NExtensionMethod' SharpDoc.Model.NTopic' SharpDoc.MonoCecilAssemblyManager' SharpDoc.SharpDocApp' SharpDoc.MsdnRegistry
Cyclic Dependency,SharpDoc,SharpDoc.Model,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: SharpDoc.Model' SharpDoc,SharpDoc.Model.NExtensionMethod' SharpDoc.Model.NTopic' SharpDoc.MonoCecilAssemblyManager' SharpDoc.SharpDocApp' SharpDoc.MsdnRegistry,SharpDoc.Model.NExtensionMethod' SharpDoc.Model.NTopic' SharpDoc.MonoCecilAssemblyManager' SharpDoc.SharpDocApp' SharpDoc.MsdnRegistry
Unstable Dependency,SharpDoc,SharpDoc.Logging,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): SharpDoc,SharpDoc.Logging.FatalException,SharpDoc.Logging.FatalException
Unstable Dependency,SharpDoc,SharpDoc.Model,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): SharpDoc,SharpDoc.Model.MonoCecilModelBuilder' SharpDoc.Model.Config' SharpDoc.Model.ConfigParam,SharpDoc.Model.MonoCecilModelBuilder' SharpDoc.Model.Config' SharpDoc.Model.ConfigParam
God Component,SharpDoc,SharpDoc,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 35,SharpDoc.AssemblyDoc' SharpDoc.LinkType' SharpDoc.NamespaceDoc' SharpDoc.HelperMethod' SharpDoc.OutputType' SharpDoc.OperatorType,SharpDoc.AssemblyDoc' SharpDoc.ConfigDocPak' SharpDoc.FatalException' SharpDoc.ConfigSourceGroup' SharpDoc.MonoCecilAssemblyManager' SharpDoc.ConfigParam' SharpDoc.DynamicParam' SharpDoc.LinkType' SharpDoc.ModelProcessor' SharpDoc.NamespaceDoc' SharpDoc.DynamicHelper' SharpDoc.HelperMethod' SharpDoc.DynamicDictionaryMetaObject' SharpDoc.Config' SharpDoc.MonoCecilModelBuilder' SharpDoc.MonoCecilHelper' SharpDoc.ConfigSource' SharpDoc.OutputType' SharpDoc.Program' SharpDoc.DocIdHelper' SharpDoc.OperatorType' SharpDoc.SharpDocApp' SharpDoc.StyleDefinition' SharpDoc.StyleManager' SharpDoc.TemplateContext' SharpDoc.TagExpandItem' SharpDoc.PageTemplateDoc' SharpDoc.LinkDescriptor' SharpDoc.TextReferenceUtility' SharpDoc.TopicBuilder' SharpDoc.DocItem' SharpDoc.DocProvider' SharpDoc.Utility' SharpDoc.MsdnRegistry' SharpDoc.WebDocumentation
God Component,SharpDoc,SharpDoc.Model,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 39,SharpDoc.Model.IOverridable' SharpDoc.Model.DocTag' SharpDoc.Model.IComment' SharpDoc.Model.IModelReference' SharpDoc.Model.INTypeReference' SharpDoc.Model.NVisibility' SharpDoc.Model.NConstructor' SharpDoc.Model.NOperator' SharpDoc.Model.NMemberType' SharpDoc.Model.NPropertyReference,SharpDoc.Model.IOverridable' SharpDoc.Model.NPropertyReference' SharpDoc.Model.NExtensionMethod' SharpDoc.Model.NDocumentApi' SharpDoc.Model.NSeeAlso' SharpDoc.Model.IAssemblyManager' SharpDoc.Model.NDelegate' SharpDoc.Model.NReference' SharpDoc.Model.NTopic' SharpDoc.Model.INMemberReference' SharpDoc.Model.NGenericParameter' SharpDoc.Model.NMemberReference' SharpDoc.Model.NAssemblySource' SharpDoc.Model.DocTag' SharpDoc.Model.IComment' SharpDoc.Model.IModelBuilder' SharpDoc.Model.IModelReference' SharpDoc.Model.MemberRegistry' SharpDoc.Model.NInterface' SharpDoc.Model.INTypeReference' SharpDoc.Model.NTypeReference' SharpDoc.Model.NVisibility' SharpDoc.Model.NAssembly' SharpDoc.Model.NClass' SharpDoc.Model.NConstructor' SharpDoc.Model.NEvent' SharpDoc.Model.NField' SharpDoc.Model.NMember' SharpDoc.Model.NMethod' SharpDoc.Model.NModelBase' SharpDoc.Model.NNamespace' SharpDoc.Model.NOperator' SharpDoc.Model.NParameter' SharpDoc.Model.NParameterComparator' SharpDoc.Model.NProperty' SharpDoc.Model.NMemberType' SharpDoc.Model.NStruct' SharpDoc.Model.NType' SharpDoc.Model.NEnum
Scattered Functionality,SharpDoc,SharpDoc,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: SharpDoc.Model' SharpDoc.Logging,SharpDoc.Model.NDocumentApi' SharpDoc.Logging.Logger' SharpDoc.Model.NTopic' SharpDoc.Model.MemberRegistry,SharpDoc.Model.NDocumentApi' SharpDoc.Logging.Logger' SharpDoc.Model.NTopic' SharpDoc.Model.MemberRegistry
