Implementation smell,Namespace,Class,File,Method,Description
Long Statement,Navigation.Portable.ViewModels,NavigationViewModelBase,C:\research\architectureSmells\repos\MugenMvvmToolkit_MugenMvvmToolkit.Samples\MugenMvvmToolkit.Samples.Navigation\Navigation.Portable\ViewModels\NavigationViewModelBase.cs,ShowCloseQuestionAsync,The length of the statement  "            return await MessagePresenter.ShowAsync($"Are you sure' you want to close the {name} view model?"' "Closing"' MessageButton.YesNo) == MessageResult.Yes; " is 152.
Long Statement,Navigation.Portable.ViewModels,OpenedViewModelsViewModel,C:\research\architectureSmells\repos\MugenMvvmToolkit_MugenMvvmToolkit.Samples\MugenMvvmToolkit.Samples.Navigation\Navigation.Portable\ViewModels\OpenedViewModelsViewModel.cs,TryOpenClearBackStackAsync,The length of the statement  "            var navigationCompletedTask = openedViewModelInfo.ViewModel.ShowAsync(NavigationConstants.ClearBackStack.ToValue(true)).GetNavigationCompletedTask(); " is 149.
Long Statement,Navigation.Portable.ViewModels,OpenedViewModelsViewModel,C:\research\architectureSmells\repos\MugenMvvmToolkit_MugenMvvmToolkit.Samples\MugenMvvmToolkit.Samples.Navigation\Navigation.Portable\ViewModels\OpenedViewModelsViewModel.cs,TryOpenClearBackStackAsync,The length of the statement  "                _toastPresenter.ShowAsync($"Cannot reopen clear back stack {openedViewModelInfo.ViewModel.GetType().Name}"' ToastDuration.Short); " is 129.
Long Statement,Navigation.Portable.ViewModels,OpenedViewModelsViewModel,C:\research\architectureSmells\repos\MugenMvvmToolkit_MugenMvvmToolkit.Samples\MugenMvvmToolkit.Samples.Navigation\Navigation.Portable\ViewModels\OpenedViewModelsViewModel.cs,GetMenuItems,The length of the statement  "            if (!info.ViewModel.Settings.Metadata.TryGetData(ViewModelConstants.CanCloseHandler' out canClose) || canClose(info.ViewModel' null)) " is 133.
