Architecture smell,Project,Namespace,Cause
Cyclic Dependency,Server,Server,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Server' Server.Network
Cyclic Dependency,Server,Server,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Server' Server.Commands
Cyclic Dependency,Server,Server,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Server' Server.Network' Server.Gumps' CustomsFramework
Cyclic Dependency,Server,Server,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Server' Server.Items
Cyclic Dependency,Server,Server,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Server' CustomsFramework
Cyclic Dependency,Server,CustomsFramework,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: CustomsFramework' Server' Server.Network
Cyclic Dependency,Server,Server.Diagnostics,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Server.Diagnostics' Server.Network' Server
Cyclic Dependency,Server,Server.Diagnostics,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Server.Diagnostics' Server
Cyclic Dependency,Server,Server.Gumps,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Server.Gumps' Server.Network' Server
Cyclic Dependency,Server,Server.Gumps,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Server.Gumps' Server.Network
Cyclic Dependency,Server,Server.Items,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Server.Items' Server' Server.Network
Cyclic Dependency,Server,Server.Network,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Server.Network' Server.Targeting
Cyclic Dependency,Server,Server.Targeting,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Server.Targeting' Server
Cyclic Dependency,Server,Server.Targeting,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Server.Targeting' Server.Network' Server
Unstable Dependency,Server,Server,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): Server.Network' Server.Guilds' Server.Mobiles' CustomsFramework' Server.Items' Server.Mobiles' Server.Targeting' Server.Movement' Server.Diagnostics
Unstable Dependency,Server,Server.Commands,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): Server' Server.Network
Unstable Dependency,Server,Server.ContextMenus,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): Server.Network
Unstable Dependency,Server,Server.Gumps,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): Server.Network
Unstable Dependency,Server,Server.Network,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): Server.Items' Server.Menus.ItemLists' Server.Menus.Questions
Unstable Dependency,Server,Server.Targeting,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): Server.Network
God Component,Server,Server,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 215
God Component,Server,Server.Gumps,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 31
God Component,Server,Server.Network,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 206
Feature Concentration,Server,Server.Mobiles,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BuyItemStateComparer' BuyItemState]' [BuyItemResponse]' [SellItemResponse]' [SellItemState]' [IMount]' [IMountItem]. LCC (Lack of Component Cohesion) = 0.86
Feature Concentration,Server,CustomsFramework,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BaseCore' BaseCoreEventArgs' SaveData' CustomSerial' ICustomsEntry' ICustomsEntity' BaseModule' BaseModuleEventArgs' BaseService]' [Decompressor]' [ObjectDumper' Utilities' SaveStrategyTypes]' [OutgoingPacketOverrides]' [OldClientResponse]. LCC (Lack of Component Cohesion) = 0.33
Feature Concentration,Server,Server.Targeting,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [LandTarget]' [MultiTarget' Target' TargetCancelType' TargetFlags]' [StaticTarget]. LCC (Lack of Component Cohesion) = 0.5
Scattered Functionality,Server,Server,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: Server.Items' Server.Network
Scattered Functionality,Server,Server,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: Server.Network' Server.Gumps
