Implementation smell,Namespace,Class,File,Method,Description
Magic Number,Example.BusinessLogicTest,DataInitialisation,D:\research\architectureSmells\repos\a-h_FakeDbSet\Examples\Example.BusinessLogicTest\DataInitialisation.cs,CreateBooks,The following statement contains a magic number: var authorOne = new Author()  				{  					DateOfBirth = new DateTime(2010' 1' 1)'  					FirstName = "First Name 1"'  					LastName = "Last Name 1"  				};
Magic Number,Example.BusinessLogicTest,DataInitialisation,D:\research\architectureSmells\repos\a-h_FakeDbSet\Examples\Example.BusinessLogicTest\DataInitialisation.cs,CreateBooks,The following statement contains a magic number: database.Books.Add(new Book()  				{  					Author = authorOne'  					Title = "Book 1"'  					YearPublished = 2010  				});
Magic Number,Example.BusinessLogicTest,DataInitialisation,D:\research\architectureSmells\repos\a-h_FakeDbSet\Examples\Example.BusinessLogicTest\DataInitialisation.cs,CreateBooks,The following statement contains a magic number: var authorTwo = new Author()  				{  					DateOfBirth = new DateTime(2011' 1' 1)'  					FirstName = "First Name 2"'  					LastName = "Last Name 2"  				};
Magic Number,Example.BusinessLogicTest,DataInitialisation,D:\research\architectureSmells\repos\a-h_FakeDbSet\Examples\Example.BusinessLogicTest\DataInitialisation.cs,CreateBooks,The following statement contains a magic number: database.Books.Add(new Book()  				{  					Author = authorTwo'  					Title = "Book 2"'  					YearPublished = 2011  				});
