Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
CannedEmailDAO,0,3,1,0,3,21,3,0,1,0,1,2
SystemEmailDAO,0,2,1,0,2,17,2,0,1,0,0,2
TGEmailDAO,0,1,1,0,1,12,1,0,1,0,0,1
TGEulaAgreementDAO,0,3,1,0,3,28,3,0,1,0,1,2
TGEulaDAO,0,2,1,0,2,19,2,0,1,0,2,2
TGUserAuthorizationDAO,0,3,1,0,3,26,4,0,1,0,1,2
TGUserDAO,0,4,1,0,4,26,4,0,1,0,1,2
TGUserEmailValidationDAO,0,3,1,0,3,22,3,0,1,0,1,2
TGUserPasswordDAO,0,2,1,0,2,19,2,0,1,0,0,2
TGUserRoleDAO,0,4,1,0,4,43,5,0,1,0,1,2
WebLogEntryDAO,0,1,1,0,1,12,1,0,1,0,0,1
EmailBodyType,0,0,0,0,0,5,0,0,0,0,0,1
LogMessageType,0,0,0,0,0,9,0,0,0,0,0,1
BrowserHelper,0,1,0,0,1,18,3,0,0,0,0,0
CannedEmailHelper,1,3,0,1,2,40,5,0,0,0.67,3,0
EmailHelper,0,2,0,0,2,23,2,0,0,0,2,0
LoginHelper,0,6,0,0,6,138,24,0,0,0,4,0
IServerDataManager,0,15,0,0,0,18,15,0,0,0,4,1
AbstractCoreManager,0,33,0,0,31,198,35,1,1,0,18,0
AbstractCoreManagerWithUser,0,9,0,0,9,85,11,0,2,0,3,0
AbstractCoreStructureManager,0,4,0,0,2,37,5,0,1,0,11,0
SystemEmail,0,5,2,0,5,38,5,0,1,0,1,1
TGEmail,0,2,6,0,2,70,2,2,2,0,2,2
CannedEmail,0,2,2,0,2,28,2,0,3,0,1,3
TGEula,0,2,1,0,2,18,2,0,2,0,1,2
TGEulaAgreement,0,2,3,0,2,47,2,0,2,0,1,2
TGUser,0,2,7,0,2,80,2,0,2,0,1,6
TGUserPassword,0,5,3,0,5,52,5,0,2,0,1,2
TGUserAuthorization,0,7,4,0,7,83,9,0,2,0,2,5
TGUserEmailValidation,0,5,2,0,5,42,5,0,2,0,2,3
TGUserRole,0,2,1,0,2,18,2,0,2,0,1,2
WebLogEntry,0,3,5,0,3,68,3,0,2,0,2,0
AbstractHandler,0,6,1,0,5,41,15,0,0,0,0,0
