Implementation smell,Namespace,Class,File,Method,Description
Magic Number,FileStreams.App,Program,C:\repos\dazfuller_FileStreams\FileStreams.App\Program.cs,ReadPhotoData,The following statement contains a magic number: using (var source = File.OpenRead (roomPhoto)) {  	var buffer = new byte[16 * 1024];  	using (var ms = new MemoryStream ()) {  		int bytesRead;  		while ((bytesRead = source.Read (buffer' 0' buffer.Length)) > 0) {  			ms.Write (buffer' 0' bytesRead);  		}  		return ms.ToArray ();  	}  }  
Magic Number,FileStreams.App,Program,C:\repos\dazfuller_FileStreams\FileStreams.App\Program.cs,ReadPhotoData,The following statement contains a magic number: using (var source = File.OpenRead (roomPhoto)) {  	var buffer = new byte[16 * 1024];  	using (var ms = new MemoryStream ()) {  		int bytesRead;  		while ((bytesRead = source.Read (buffer' 0' buffer.Length)) > 0) {  			ms.Write (buffer' 0' bytesRead);  		}  		return ms.ToArray ();  	}  }  
