Architecture smell,Project,Namespace,Cause
Unstable Dependency,FilterEffects,FilterEffects,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): FilterEffects.Filters
Feature Concentration,FilterEffects,FilterEffects,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AboutPage]' [AppUtils' PreviewPage' MainPage' DataContext]' [App]' [LocalizedStrings]. LCC (Lack of Component Cohesion) = 0.57
