Implementation smell,Namespace,Class,File,Method,Description
Long Statement,Asp.Net.Example,ApplicationBootrapper,C:\repos\creamdog_Nancy.LightningCache\Asp.Net.Example\ApplicationBootrapper.cs,ApplicationStartup,The length of the statement  "            this.EnableLightningCache(container.Resolve<IRouteResolver>()' ApplicationPipelines' new DefaultCacheKeyGenerator(new[] { "id"' "query"' "take"' "skip" })); " is 156.
Long Statement,Asp.Net.Example,ApplicationBootrapper,C:\repos\creamdog_Nancy.LightningCache\Asp.Net.Example\ApplicationBootrapper.cs,ApplicationStartup,The length of the statement  "            //this.EnableLightningCache(container.Resolve<IRouteResolver>()' ApplicationPipelines' new DefaultCacheKeyGenerator(new[] { "id"' "query"' "take"' "skip" })' new DiskCacheStore("c:/tmp/cache")); " is 194.
Magic Number,Asp.Net.Example,Module,C:\repos\creamdog_Nancy.LightningCache\Asp.Net.Example\Module.cs,Module,The following statement contains a magic number: Get["/faultyResponse"] = _ =>              {                  return new Response() {StatusCode = HttpStatusCode.InternalServerError}.AsCacheable(DateTime.Now.AddSeconds(30));              };
