Implementation smell,Namespace,Class,File,Method,Description
Long Statement,BasicAppUniversal,App,C:\repos\facebook-csharp-sdk_facebook-winclient-sdk\Samples\BasicAppUniversal\BasicAppUniversal\BasicAppUniversal.Shared\App.xaml.cs,ShowDialog,The length of the statement  "                        await new MessageDialog("Authentication via Webview succeeded. Expiry date: " + session.Expires.ToString()).ShowAsync(); " is 120.
Magic Number,BasicAppUniversal,App,C:\repos\facebook-csharp-sdk_facebook-winclient-sdk\Samples\BasicAppUniversal\BasicAppUniversal\BasicAppUniversal.Shared\App.xaml.cs,ShowDialog,The following statement contains a magic number: action = async (o) =>              {                  try                  {                      if (dispatcher.HasThreadAccess)                          await new MessageDialog("Authentication via Webview succeeded. Expiry date: " + session.Expires.ToString()).ShowAsync();                      else                      {                          dispatcher.RunAsync(CoreDispatcherPriority.Normal'                          () => action(o));                      }                      return true;                  }                  catch (UnauthorizedAccessException)                  {                      if (action != null)                      {                          Task.Delay(500).ContinueWith(async t => await action(o));                      }                  }                  return false;              };
