Implementation smell,Namespace,Class,File,Method,Description
Long Statement,BasicApp,BlankPage1,D:\research\architectureSmells\repos\facebook-csharp-sdk_facebook-winclient-sdk\Samples\BasicApp-WindowsStore\BlankPage1.xaml.cs,loginViaWebview_Click,The length of the statement  "            Session.ActiveSession.LoginWithBehavior("email'public_profile'user_friends"' FacebookLoginBehavior.LoginBehaviorWebViewOnly); " is 125.
Long Statement,BasicApp,MainPage,D:\research\architectureSmells\repos\facebook-csharp-sdk_facebook-winclient-sdk\Samples\BasicApp-WindowsStore\MainPage.xaml.cs,MainPage_Loaded,The length of the statement  "            //var appLink = await AppLinkNavigation.DefaultResolver.GetAppLinkAsync("<insert access token here>"' "http://pratapgarh.com/fbtest/al.html"); " is 142.
Long Statement,BasicApp,MainPage,D:\research\architectureSmells\repos\facebook-csharp-sdk_facebook-winclient-sdk\Samples\BasicApp-WindowsStore\MainPage.xaml.cs,OnDisplayOrderSelected,The length of the statement  "                    (Facebook.Client.Controls.FriendPickerDisplayOrder)Enum.Parse(typeof(Facebook.Client.Controls.FriendPickerDisplayOrder)' choice.Name); " is 134.
Magic Number,BasicApp,MainPage,D:\research\architectureSmells\repos\facebook-csharp-sdk_facebook-winclient-sdk\Samples\BasicApp-WindowsStore\MainPage.xaml.cs,OnItemSelected,The following statement contains a magic number: this.currentItem.Opacity = 100;
Magic Number,BasicApp,MainPage,D:\research\architectureSmells\repos\facebook-csharp-sdk_facebook-winclient-sdk\Samples\BasicApp-WindowsStore\MainPage.xaml.cs,OnSessionStateChanged,The following statement contains a magic number: this.welcomeText.Opacity = (e.SessionState == FacebookSessionState.Opened) ? 0 : 100;
Magic Number,BasicApp,MainPage,D:\research\architectureSmells\repos\facebook-csharp-sdk_facebook-winclient-sdk\Samples\BasicApp-WindowsStore\MainPage.xaml.cs,OnSessionStateChanged,The following statement contains a magic number: this.ContentPanel.Opacity = (e.SessionState == FacebookSessionState.Opened) ? 100 : 0;
Missing Default,BasicApp,MainPage,D:\research\architectureSmells\repos\facebook-csharp-sdk_facebook-winclient-sdk\Samples\BasicApp-WindowsStore\MainPage.xaml.cs,OnItemSelected,The following switch statement is missing a default case: switch (choice.Name)                  {                      case "user":                          this.currentItem = this.userInfo; break;                      case "picture":                          this.currentItem = this.profilePictureScenario; break;                      case "friends":                          this.currentItem = this.friendPickerScenario; break;                      case "places":                          this.currentItem = this.placePickerScenario; break;                  }
