Implementation smell,Namespace,Class,File,Method,Description
Magic Number,BarcodeScanning.MonoTouch,MainViewController,C:\repos\xamarin_Seminars\2012-11-29-BarcodeScanning\BarcodeScanning.MonoTouch\BarcodeScanning.MonoTouch\MainViewController.cs,BuildUI,The following statement contains a magic number: buttonScanSample1 = new UIButton(UIButtonType.RoundedRect)  			{  				Frame = new RectangleF(10' 10' bounds.Width - 20' 40)  			};
Magic Number,BarcodeScanning.MonoTouch,MainViewController,C:\repos\xamarin_Seminars\2012-11-29-BarcodeScanning\BarcodeScanning.MonoTouch\BarcodeScanning.MonoTouch\MainViewController.cs,BuildUI,The following statement contains a magic number: buttonScanSample1 = new UIButton(UIButtonType.RoundedRect)  			{  				Frame = new RectangleF(10' 10' bounds.Width - 20' 40)  			};
Magic Number,BarcodeScanning.MonoTouch,MainViewController,C:\repos\xamarin_Seminars\2012-11-29-BarcodeScanning\BarcodeScanning.MonoTouch\BarcodeScanning.MonoTouch\MainViewController.cs,BuildUI,The following statement contains a magic number: buttonScanSample1 = new UIButton(UIButtonType.RoundedRect)  			{  				Frame = new RectangleF(10' 10' bounds.Width - 20' 40)  			};
Magic Number,BarcodeScanning.MonoTouch,MainViewController,C:\repos\xamarin_Seminars\2012-11-29-BarcodeScanning\BarcodeScanning.MonoTouch\BarcodeScanning.MonoTouch\MainViewController.cs,BuildUI,The following statement contains a magic number: buttonScanSample1 = new UIButton(UIButtonType.RoundedRect)  			{  				Frame = new RectangleF(10' 10' bounds.Width - 20' 40)  			};
