Implementation smell,Namespace,Class,File,Method,Description
Long Statement,NullGEN,Program,C:\repos\byteit101_ZomB-Dashboard-System\Apps\NullGEN\Program.cs,Main,The length of the statement  "		Process.Start (Registry.LocalMachine.OpenSubKey (@"Software\Microsoft\.NETFramework").GetValue ("InstallRoot"' @"C:\WINDOWS\Microsoft.NET\Framework\").ToString () + "v2.0.50727\\ngen.exe"' "install \"" + Process.GetCurrentProcess ().MainModule.FileName + "\"").WaitForExit (); " is 276.
Long Statement,NullGEN,Program,C:\repos\byteit101_ZomB-Dashboard-System\Apps\NullGEN\Program.cs,AppeaseNgen,The length of the statement  "	System.Windows.Automation.Provider.NavigateDirection nd = System.Windows.Automation.Provider.NavigateDirection.FirstChild; " is 122.
Long Statement,NullGEN,Program,C:\repos\byteit101_ZomB-Dashboard-System\Apps\NullGEN\Program.cs,NGenu,The length of the statement  "	var pi = new ProcessStartInfo (Registry.LocalMachine.OpenSubKey (@"Software\Microsoft\.NETFramework").GetValue ("InstallRoot"' @"C:\WINDOWS\Microsoft.NET\Framework\").ToString () + "v2.0.50727\\ngen.exe"' "uninstall \"" + AssemblyPath + "\""); " is 243.
Long Statement,NullGEN,PublishExtents,C:\repos\byteit101_ZomB-Dashboard-System\Apps\NullGEN\Program.cs,GacRemoveC,The length of the statement  "	string toout = Microsoft.Win32.Registry.LocalMachine.OpenSubKey (@"SOFTWARE\ZomB").GetValue ("Path"' @"C:\Program Files\ZomB").ToString (); " is 139.
