Implementation smell,Namespace,Class,File,Method,Description
Long Statement,Emgu.CV.WPF,Window1,C:\repos\VisionWithGrace_cv\libemgucv-2.2.0.1010-win64\Emgu.CV.Example\WPF\Window1.xaml.cs,ToBitmapSource,The length of the statement  "		BitmapSource bs = System.Windows.Interop.Imaging.CreateBitmapSourceFromHBitmap (ptr' IntPtr.Zero' Int32Rect.Empty' System.Windows.Media.Imaging.BitmapSizeOptions.FromEmptyOptions ()); " is 183.
Magic Number,Emgu.CV.WPF,Window1,C:\repos\VisionWithGrace_cv\libemgucv-2.2.0.1010-win64\Emgu.CV.Example\WPF\Window1.xaml.cs,image1_Initialized,The following statement contains a magic number: image.Draw ("Hello' world"' ref f' new System.Drawing.Point (10' 50)' new Bgr (255.0' 0.0' 0.0));  
Magic Number,Emgu.CV.WPF,Window1,C:\repos\VisionWithGrace_cv\libemgucv-2.2.0.1010-win64\Emgu.CV.Example\WPF\Window1.xaml.cs,image1_Initialized,The following statement contains a magic number: image.Draw ("Hello' world"' ref f' new System.Drawing.Point (10' 50)' new Bgr (255.0' 0.0' 0.0));  
Magic Number,Emgu.CV.WPF,Window1,C:\repos\VisionWithGrace_cv\libemgucv-2.2.0.1010-win64\Emgu.CV.Example\WPF\Window1.xaml.cs,image1_Initialized,The following statement contains a magic number: image.Draw ("Hello' world"' ref f' new System.Drawing.Point (10' 50)' new Bgr (255.0' 0.0' 0.0));  
