Implementation smell,Namespace,Class,File,Method,Description
Long Parameter List,_04.InsertValueIntoTable,Program,C:\repos\mitko100_CSharp\Databases\05.ADO\04.InsertValueIntoTable\Program.cs,InsertProduct,The method has 9 parameters.
Long Statement,_04.InsertValueIntoTable,Program,C:\repos\mitko100_CSharp\Databases\05.ADO\04.InsertValueIntoTable\Program.cs,InsertProduct,The length of the statement  "	SqlCommand sqlInsert = new SqlCommand ("INSERT INTO [northwind].[dbo].[Products] " + "VALUES (@productName' @supplierId' @categoryId' @quantityPerUnit' @unitPrice' " + "@unitsInStock' @unitsInOrder' @reorderLevel' @discounted)"' dbCon); " is 236.
Magic Number,_04.InsertValueIntoTable,Program,C:\repos\mitko100_CSharp\Databases\05.ADO\04.InsertValueIntoTable\Program.cs,Main,The following statement contains a magic number: using (dbCon) {  	dbCon.Open ();  	int rowsAffected = InsertProduct ("Beer"' 1' 1' "12 bottes per stack"' 20' 100' 20' 1' 0);  	Console.WriteLine ("Rows affected : {0}"' rowsAffected);  }  
Magic Number,_04.InsertValueIntoTable,Program,C:\repos\mitko100_CSharp\Databases\05.ADO\04.InsertValueIntoTable\Program.cs,Main,The following statement contains a magic number: using (dbCon) {  	dbCon.Open ();  	int rowsAffected = InsertProduct ("Beer"' 1' 1' "12 bottes per stack"' 20' 100' 20' 1' 0);  	Console.WriteLine ("Rows affected : {0}"' rowsAffected);  }  
Magic Number,_04.InsertValueIntoTable,Program,C:\repos\mitko100_CSharp\Databases\05.ADO\04.InsertValueIntoTable\Program.cs,Main,The following statement contains a magic number: using (dbCon) {  	dbCon.Open ();  	int rowsAffected = InsertProduct ("Beer"' 1' 1' "12 bottes per stack"' 20' 100' 20' 1' 0);  	Console.WriteLine ("Rows affected : {0}"' rowsAffected);  }  
