Implementation smell,Namespace,Class,File,Method,Description
Magic Number,_01.CreateATMDatabase,Program,C:\repos\mitko100_CSharp\Databases\10.Transactions\01.CreateATMDatabase\Program.cs,Main,The following statement contains a magic number: using (db) {  	//add some records  	CardAccount card1 = new CardAccount ("1111111111"' "1111"' 1000);  	CardAccount card2 = new CardAccount ("2222222222"' "2222"' 2000);  	CardAccount card3 = new CardAccount ("3333333333"' "3333"' 3000);  	db.CardAccounts.Add (card1);  	db.CardAccounts.Add (card2);  	db.CardAccounts.Add (card3);  	db.SaveChanges ();  }  
Magic Number,_01.CreateATMDatabase,Program,C:\repos\mitko100_CSharp\Databases\10.Transactions\01.CreateATMDatabase\Program.cs,Main,The following statement contains a magic number: using (db) {  	//add some records  	CardAccount card1 = new CardAccount ("1111111111"' "1111"' 1000);  	CardAccount card2 = new CardAccount ("2222222222"' "2222"' 2000);  	CardAccount card3 = new CardAccount ("3333333333"' "3333"' 3000);  	db.CardAccounts.Add (card1);  	db.CardAccounts.Add (card2);  	db.CardAccounts.Add (card3);  	db.SaveChanges ();  }  
Magic Number,_01.CreateATMDatabase,Program,C:\repos\mitko100_CSharp\Databases\10.Transactions\01.CreateATMDatabase\Program.cs,Main,The following statement contains a magic number: using (db) {  	//add some records  	CardAccount card1 = new CardAccount ("1111111111"' "1111"' 1000);  	CardAccount card2 = new CardAccount ("2222222222"' "2222"' 2000);  	CardAccount card3 = new CardAccount ("3333333333"' "3333"' 3000);  	db.CardAccounts.Add (card1);  	db.CardAccounts.Add (card2);  	db.CardAccounts.Add (card3);  	db.SaveChanges ();  }  
