Implementation smell,Namespace,Class,File,Method,Description
Long Statement,Validations.ValidationRules,NameValidationRule,C:\repos\mitko100_CSharp\MVVM\Validations\ValidationRules\NameValidationRule.cs,Validate,The length of the statement  "		return new ValidationResult (false' string.Format ("Name lenght must in range [{0}...{1}]"' this.MinLength' this.MaxLenght)); " is 125.
Magic Number,Validations,MainWindow,C:\repos\mitko100_CSharp\MVVM\Validations\MainWindow.xaml.cs,MainWindow,The following statement contains a magic number: this.spMain.DataContext = new Student ("Mitko"' 22);  
