Implementation smell,Namespace,Class,File,Method,Description
Long Parameter List,AdvancedMVVM.Models,Student,C:\repos\mitko100_CSharp\MVVM\AdvancedMVVM\Models\Student.cs,Student,The method has 5 parameters.
Magic Number,AdvancedMVVM.Models.ViewModels,MainWindowViewModel,C:\repos\mitko100_CSharp\MVVM\AdvancedMVVM\Models\ViewModels\MainWindowViewModel.cs,MainWindowViewModel,The following statement contains a magic number: this.StudentsList = new ObservableCollection<StudentViewModel> () {  	new StudentViewModel (new Student ("Dimitar"' "Radenkov"' "F40029"' 30' new List<string> () {  		"Math"'  		"Informatique"  	}))'  	new StudentViewModel (new Student ("Alexander"' "Radenkov"' "F40221"' 15' new List<string> () {  		"Math"'  		"Science"  	}))'  };  
Magic Number,AdvancedMVVM.Models.ViewModels,MainWindowViewModel,C:\repos\mitko100_CSharp\MVVM\AdvancedMVVM\Models\ViewModels\MainWindowViewModel.cs,MainWindowViewModel,The following statement contains a magic number: this.StudentsList = new ObservableCollection<StudentViewModel> () {  	new StudentViewModel (new Student ("Dimitar"' "Radenkov"' "F40029"' 30' new List<string> () {  		"Math"'  		"Informatique"  	}))'  	new StudentViewModel (new Student ("Alexander"' "Radenkov"' "F40221"' 15' new List<string> () {  		"Math"'  		"Science"  	}))'  };  
