Implementation smell,Namespace,Class,File,Method,Description
Long Statement,RubyInt,MainWindow,C:\repos\MathosProject_Mathos-Project\RubyInt\MainWindow.xaml.cs,AboutClick,The length of the statement  "            MessageBox.Show(@"Mathos Project was launched June 21' 2012' and is currently under active development. The project is based on contributions by users worldwide' and is therefore entirely free to use an unlimited amount of times' without any restrictions. You can also contribute in any way! " is 291.
Long Statement,RubyInt,MainWindow,C:\repos\MathosProject_Mathos-Project\RubyInt\MainWindow.xaml.cs,AboutClick,The length of the statement  "We are currently taking a part in the Microsoft BizSpark programme' and we would like to extend a very special thanks to Microsoft BizSpark program for providing us with development tools' and other benefits of the programme! You can find out more about Microsoft BizSpark at http://bizspark.com/!"' " is 299.
Long Statement,RubyInt,Settings,C:\repos\MathosProject_Mathos-Project\RubyInt\Settings.cs,Initialize,The length of the statement  "            ScintillaTemplate.SetKeywords(0' "include begin end alias and break case class def defined? do else elsif ensure false for if in module next nil not or redo rescue retry return self super then true undef unless until when while yield __encoding__ __end__ __file__ __line__"); " is 275.
Long Statement,RubyInt.Windows,DocumentationWindow,C:\repos\MathosProject_Mathos-Project\RubyInt\Windows\DocumentationWindow.xaml.cs,InitializeComponent,The length of the statement  "            System.Uri resourceLocater = new System.Uri("/RubyInt;component/windows/documentationwindow.xaml"' System.UriKind.Relative); " is 124.
Long Statement,RubyInt.Windows,DocumentationWindow,C:\repos\MathosProject_Mathos-Project\RubyInt\Windows\DocumentationWindow.xaml.cs,Connect,The length of the statement  "            ((RubyInt.Windows.DocumentationWindow)(target)).Loaded += new System.Windows.RoutedEventHandler(this.DocumentationWindow_OnLoaded); " is 131.
Long Statement,RubyInt.Windows,DocumentationWindow,C:\repos\MathosProject_Mathos-Project\RubyInt\Windows\DocumentationWindow.xaml.cs,Connect,The length of the statement  "            this.DocList.SelectionChanged += new System.Windows.Controls.SelectionChangedEventHandler(this.DocList_OnSelectionChanged); " is 123.
Magic Number,Mathos,BenchmarkUtil,C:\repos\MathosProject_Mathos-Project\RubyInt\BenchmarkUtil.cs,Benchmark,The following statement contains a magic number: const int innerCount = 5;
Magic Number,RubyInt.Windows,DocumentationWindow,C:\repos\MathosProject_Mathos-Project\RubyInt\Windows\DocumentationWindow.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:                            #line 4 "..\..\..\Windows\DocumentationWindow.xaml"              ((RubyInt.Windows.DocumentationWindow)(target)).Loaded += new System.Windows.RoutedEventHandler(this.DocumentationWindow_OnLoaded);                            #line default              #line hidden              return;              case 2:              this.DocList = ((System.Windows.Controls.ListBox)(target));                            #line 6 "..\..\..\Windows\DocumentationWindow.xaml"              this.DocList.SelectionChanged += new System.Windows.Controls.SelectionChangedEventHandler(this.DocList_OnSelectionChanged);                            #line default              #line hidden              return;              case 3:              this.DocBrowser = ((System.Windows.Controls.WebBrowser)(target));              return;              }
Magic Number,RubyInt.Windows,DocumentationWindow,C:\repos\MathosProject_Mathos-Project\RubyInt\Windows\DocumentationWindow.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:                            #line 4 "..\..\..\Windows\DocumentationWindow.xaml"              ((RubyInt.Windows.DocumentationWindow)(target)).Loaded += new System.Windows.RoutedEventHandler(this.DocumentationWindow_OnLoaded);                            #line default              #line hidden              return;              case 2:              this.DocList = ((System.Windows.Controls.ListBox)(target));                            #line 6 "..\..\..\Windows\DocumentationWindow.xaml"              this.DocList.SelectionChanged += new System.Windows.Controls.SelectionChangedEventHandler(this.DocList_OnSelectionChanged);                            #line default              #line hidden              return;              case 3:              this.DocBrowser = ((System.Windows.Controls.WebBrowser)(target));              return;              }
Missing Default,RubyInt.Windows,DocumentationWindow,C:\repos\MathosProject_Mathos-Project\RubyInt\Windows\DocumentationWindow.xaml.cs,Connect,The following switch statement is missing a default case: switch (connectionId)              {              case 1:                            #line 4 "..\..\..\Windows\DocumentationWindow.xaml"              ((RubyInt.Windows.DocumentationWindow)(target)).Loaded += new System.Windows.RoutedEventHandler(this.DocumentationWindow_OnLoaded);                            #line default              #line hidden              return;              case 2:              this.DocList = ((System.Windows.Controls.ListBox)(target));                            #line 6 "..\..\..\Windows\DocumentationWindow.xaml"              this.DocList.SelectionChanged += new System.Windows.Controls.SelectionChangedEventHandler(this.DocList_OnSelectionChanged);                            #line default              #line hidden              return;              case 3:              this.DocBrowser = ((System.Windows.Controls.WebBrowser)(target));              return;              }
