Implementation smell,Namespace,Class,File,Method,Description
Long Statement,Nap.Configuration.Extensions,NapClientExtensions,C:\repos\mandest_Nap\src\Nap.Configuration\Extensions\NapClientExtensions.cs,ApplyProfile,The length of the statement  "                throw new NapConfigurationException("Cannot apply profiles without using Nap.Configuration - no profiles exist.  Did you call NapSetup.");" is 138.
Long Statement,Nap.Configuration.Extensions,NapClientExtensions,C:\repos\mandest_Nap\src\Nap.Configuration\Extensions\NapClientExtensions.cs,ApplyProfile,The length of the statement  "            var configurationProfile = config.Profiles.FirstOrDefault(p => p.Key.Equals(configurationKey' StringComparison.InvariantCultureIgnoreCase))?.Value;" is 147.
Long Statement,Nap.Configuration.Extensions,NapClientExtensions,C:\repos\mandest_Nap\src\Nap.Configuration\Extensions\NapClientExtensions.cs,ApplyProfile,The length of the statement  "                throw new NapConfigurationException($"Could not find profile with name {configurationKey}.  It is possible a profile has already been applied.");" is 145.
Long Statement,Nap.Configuration.Sections.Base,NapConfigurationCollectionBase<T;TI;TV>,C:\repos\mandest_Nap\src\Nap.Configuration\Sections\Base\NapConfigurationCollectionBase.cs,CheckType,The length of the statement  "                throw new NapConfigurationException($"Configuration element being acted on by {GetType().FullName} must implement {typeof(TI).FullName}.");" is 139.
Long Statement,Nap.Configuration.Sections.Base,NapConfigurationCollectionBase<T;TI;TV>,C:\repos\mandest_Nap\src\Nap.Configuration\Sections\Base\NapConfigurationCollectionBase.cs,CheckType,The length of the statement  "                throw new NapConfigurationException($"Element being acted on by {GetType().FullName} must inherit {typeof(NapConfigurationElementBase<T' TV>).FullName}.");" is 155.
Long Statement,Nap.Configuration.Sections,AuthenticationNapConfig,C:\repos\mandest_Nap\src\Nap.Configuration\Sections\AuthenticationNapConfig.cs,Clone,The length of the statement  "            return new AuthenticationNapConfig { AuthenticationType = AuthenticationType' Username = Username' Password = Password };" is 121.
Long Statement,Nap.Configuration.Sections,SerializerConfig,C:\repos\mandest_Nap\src\Nap.Configuration\Sections\SerializerConfig.cs,GetSerializer,The length of the statement  "							throw new NapConfigurationException("SerializerType is null' and SerializerConfiguration was not instantiated with an INapSerializer.");" is 136.
Long Statement,Nap.Configuration.Sections,SerializersConfig,C:\repos\mandest_Nap\src\Nap.Configuration\Sections\SerializersConfig.cs,CheckType,The length of the statement  "                throw new NapConfigurationException("Configuration element being acted on by ISerializersConfig must implement ISerializerConfig.");" is 132.
Long Statement,Nap.Configuration.Sections,SerializersConfig,C:\repos\mandest_Nap\src\Nap.Configuration\Sections\SerializersConfig.cs,CheckType,The length of the statement  "                throw new NapConfigurationException("Header element being acted on by ISerializersConfig must inherit ConfigurationElement.");" is 126.
