Project,Namespace,Ca types,Ce types
AgentMulder.Containers.StructureMap,AgentMulder.Containers.StructureMap,AgentMulder.Containers.StructureMap.Patterns.For.ForBasePattern' AgentMulder.Containers.StructureMap.Patterns.Scan.ScanPatternBase,
AgentMulder.Containers.StructureMap,AgentMulder.Containers.StructureMap.Patterns.For.Add,,
AgentMulder.Containers.StructureMap,AgentMulder.Containers.StructureMap.Patterns.For,,AgentMulder.Containers.StructureMap.Constants' AgentMulder.ReSharper.Domain.Patterns.ComponentRegistrationPatternBase
AgentMulder.Containers.StructureMap,AgentMulder.Containers.StructureMap.Patterns.For.Use,,
AgentMulder.Containers.StructureMap,AgentMulder.Containers.StructureMap.Patterns.Scan,,AgentMulder.ReSharper.Domain.Elements.Modules.ModuleExtractor' AgentMulder.ReSharper.Domain.Patterns.NamespaceRegistrationPatternBase' AgentMulder.ReSharper.Domain.Utils.PsiExtensions' AgentMulder.Containers.StructureMap.Constants
AgentMulder.Containers.StructureMap,AgentMulder.Containers.StructureMap.Registrations,,
