Implementation smell,Namespace,Class,File,Method,Description
Magic Number,MvvmCross.iOS.Support.ExpandableTableView.Core.ViewModels,FirstViewModel,C:\research\architectureSmells\repos\MvvmCross_MvvmCross\Projects\IosSupport\ExpandableTableView\MvvmCross.iOS.Support.ExpandableTableView.Core\ViewModels\FirstViewModel.cs,FirstViewModel,The following statement contains a magic number: KittenGroups = CreateKittenGroups(10).ToList();
Magic Number,MvvmCross.iOS.Support.ExpandableTableView.Core.ViewModels.ListItems,KittenGenerator,C:\research\architectureSmells\repos\MvvmCross_MvvmCross\Projects\IosSupport\ExpandableTableView\MvvmCross.iOS.Support.ExpandableTableView.Core\ViewModels\ListItems\KittenGenerator.cs,CreateNewKitten,The following statement contains a magic number: return new Kitten  			{  				Name = _names[_random.Next(_names.Count)]'  				ImageUrl = string.Format("http://placekitten.com/{0}/{0}"' _random.Next(20) + 300)  			};
Magic Number,MvvmCross.iOS.Support.ExpandableTableView.Core.ViewModels.ListItems,KittenGenerator,C:\research\architectureSmells\repos\MvvmCross_MvvmCross\Projects\IosSupport\ExpandableTableView\MvvmCross.iOS.Support.ExpandableTableView.Core\ViewModels\ListItems\KittenGenerator.cs,CreateNewKitten,The following statement contains a magic number: return new Kitten  			{  				Name = _names[_random.Next(_names.Count)]'  				ImageUrl = string.Format("http://placekitten.com/{0}/{0}"' _random.Next(20) + 300)  			};
