Implementation smell,Namespace,Class,File,Method,Description
Long Statement,VSTO_Create_SaveNewWorkbooks,ThisAddIn,F:\newReposMay17\asposecells_Aspose_Cells_NET\Plugins\Aspose.Cells Vs VSTO Spreadsheets\Code Comparison of Common Features\Create_SaveNewWorkbooks\VSTO Create_SaveNewWorkbooks\ThisAddIn.cs,Initialize,The length of the statement  "	this.Application = this.GetHostItem<Microsoft.Office.Interop.Excel.Application> (typeof(Microsoft.Office.Interop.Excel.Application)' "Application"); " is 148.
Long Statement,VSTO_Create_SaveNewWorkbooks,ThisAddIn,F:\newReposMay17\asposecells_Aspose_Cells_NET\Plugins\Aspose.Cells Vs VSTO Spreadsheets\Code Comparison of Common Features\Create_SaveNewWorkbooks\VSTO Create_SaveNewWorkbooks\ThisAddIn.cs,InitializeControls,The length of the statement  "	this.CustomTaskPanes = Globals.Factory.CreateCustomTaskPaneCollection (null' null' "CustomTaskPanes"' "CustomTaskPanes"' this); " is 127.
