Implementation smell,Namespace,Class,File,Method,Description
Long Statement,VSTO_OpenTextFilesAsWorkbooks,ThisAddIn,D:\research\architectureSmells\repos\asposecells_Aspose_Cells_NET\Plugins\Aspose.Cells Vs VSTO Spreadsheets\Code Comparison of Common Features\OpenTextFilesAsWorkbooks\VSTO OpenTextFilesAsWorkbooks\ThisAddIn.cs,ThisAddIn_Startup,The length of the statement  "            this.Application.Workbooks.OpenText(@"E:\Aspose\Aspose Vs VSTO\Aspose.Cells Vs VSTO Cells v 1.1\Sample Files\OpenTextFilesAsWorkbooks.txt"' " is 139.
Long Statement,VSTO_OpenTextFilesAsWorkbooks,ThisAddIn,D:\research\architectureSmells\repos\asposecells_Aspose_Cells_NET\Plugins\Aspose.Cells Vs VSTO Spreadsheets\Code Comparison of Common Features\OpenTextFilesAsWorkbooks\VSTO OpenTextFilesAsWorkbooks\ThisAddIn.cs,Initialize,The length of the statement  "            this.Application = this.GetHostItem<Microsoft.Office.Interop.Excel.Application>(typeof(Microsoft.Office.Interop.Excel.Application)' "Application"); " is 147.
Long Statement,VSTO_OpenTextFilesAsWorkbooks,ThisAddIn,D:\research\architectureSmells\repos\asposecells_Aspose_Cells_NET\Plugins\Aspose.Cells Vs VSTO Spreadsheets\Code Comparison of Common Features\OpenTextFilesAsWorkbooks\VSTO OpenTextFilesAsWorkbooks\ThisAddIn.cs,InitializeControls,The length of the statement  "            this.CustomTaskPanes = Globals.Factory.CreateCustomTaskPaneCollection(null' null' "CustomTaskPanes"' "CustomTaskPanes"' this); " is 126.
Magic Number,VSTO_OpenTextFilesAsWorkbooks,ThisAddIn,D:\research\architectureSmells\repos\asposecells_Aspose_Cells_NET\Plugins\Aspose.Cells Vs VSTO Spreadsheets\Code Comparison of Common Features\OpenTextFilesAsWorkbooks\VSTO OpenTextFilesAsWorkbooks\ThisAddIn.cs,ThisAddIn_Startup,The following statement contains a magic number: this.Application.Workbooks.OpenText(@"E:\Aspose\Aspose Vs VSTO\Aspose.Cells Vs VSTO Cells v 1.1\Sample Files\OpenTextFilesAsWorkbooks.txt"'      missing' 3'      Excel.XlTextParsingType.xlDelimited'      Excel.XlTextQualifier.xlTextQualifierNone'      missing' missing' missing' true' missing' missing' missing'      missing' missing' missing' missing' missing' missing);
