Implementation smell,Namespace,Class,File,Method,Description
Long Parameter List,StudentsInfo,StudentMainClass,C:\repos\Stefanpu13_TelerikAcademyRepository\C# Programming\C#Part3-OOP\3. Extension methods\ExtensionsLambda\StudentsInfo\StudentMainClass.cs,Main,The method has 5 parameters.
Long Statement,StudentsInfo,StudentMainClass,C:\repos\Stefanpu13_TelerikAcademyRepository\C# Programming\C#Part3-OOP\3. Extension methods\ExtensionsLambda\StudentsInfo\StudentMainClass.cs,Main,The length of the statement  "	IEnumerable<Student> orderedStudents = StudentsDatabase.Students.OrderBy (x => x.FirstName' descendingComparer).ThenBy (y => y.LastName' descendingComparer); " is 157.
Long Statement,StudentsInfo,StudentMainClass,C:\repos\Stefanpu13_TelerikAcademyRepository\C# Programming\C#Part3-OOP\3. Extension methods\ExtensionsLambda\StudentsInfo\StudentMainClass.cs,Main,The length of the statement  "	IEnumerable<Student> newOrderedStudents = StudentsDatabase.Students.OrderBy (x => x.FirstName' descendingStringComparer).ThenBy (y => y.LastName' descendingStringComparer); " is 172.
Magic Number,StudentsInfo,StudentsDatabase,C:\repos\Stefanpu13_TelerikAcademyRepository\C# Programming\C#Part3-OOP\3. Extension methods\ExtensionsLambda\StudentsInfo\StudentsDatabase.cs,StudentsDatabase,The following statement contains a magic number: Students = new Student[] {  	//A list of object initalisers  	new Student {  		FirstName = "Pesho"'  		LastName = "Ivanov"'  		Age = 23  	}'  	new Student {  		FirstName = "Pesho"'  		LastName = "Georgiev"'  		Age = 23  	}'  	new Student {  		FirstName = "Ivan"'  		LastName = "Peshev"'  		Age = 20  	}'  	new Student {  		FirstName = "Georgi"'  		LastName = "Ivanov"'  		Age = 21  	}'  	new Student {  		FirstName = "Todor"'  		LastName = "Stoyanov"'  		Age = 25  	}'  	new Student {  		FirstName = "Todor"'  		LastName = "Todorov"'  		Age = 27  	}'  	new Student {  		FirstName = "Miroslav"'  		LastName = "Ivanov"'  		Age = 24  	}'  	new Student {  		FirstName = "Alesandro"'  		LastName = "Nesta"'  		Age = 24  	}  };  
Magic Number,StudentsInfo,StudentsDatabase,C:\repos\Stefanpu13_TelerikAcademyRepository\C# Programming\C#Part3-OOP\3. Extension methods\ExtensionsLambda\StudentsInfo\StudentsDatabase.cs,StudentsDatabase,The following statement contains a magic number: Students = new Student[] {  	//A list of object initalisers  	new Student {  		FirstName = "Pesho"'  		LastName = "Ivanov"'  		Age = 23  	}'  	new Student {  		FirstName = "Pesho"'  		LastName = "Georgiev"'  		Age = 23  	}'  	new Student {  		FirstName = "Ivan"'  		LastName = "Peshev"'  		Age = 20  	}'  	new Student {  		FirstName = "Georgi"'  		LastName = "Ivanov"'  		Age = 21  	}'  	new Student {  		FirstName = "Todor"'  		LastName = "Stoyanov"'  		Age = 25  	}'  	new Student {  		FirstName = "Todor"'  		LastName = "Todorov"'  		Age = 27  	}'  	new Student {  		FirstName = "Miroslav"'  		LastName = "Ivanov"'  		Age = 24  	}'  	new Student {  		FirstName = "Alesandro"'  		LastName = "Nesta"'  		Age = 24  	}  };  
Magic Number,StudentsInfo,StudentsDatabase,C:\repos\Stefanpu13_TelerikAcademyRepository\C# Programming\C#Part3-OOP\3. Extension methods\ExtensionsLambda\StudentsInfo\StudentsDatabase.cs,StudentsDatabase,The following statement contains a magic number: Students = new Student[] {  	//A list of object initalisers  	new Student {  		FirstName = "Pesho"'  		LastName = "Ivanov"'  		Age = 23  	}'  	new Student {  		FirstName = "Pesho"'  		LastName = "Georgiev"'  		Age = 23  	}'  	new Student {  		FirstName = "Ivan"'  		LastName = "Peshev"'  		Age = 20  	}'  	new Student {  		FirstName = "Georgi"'  		LastName = "Ivanov"'  		Age = 21  	}'  	new Student {  		FirstName = "Todor"'  		LastName = "Stoyanov"'  		Age = 25  	}'  	new Student {  		FirstName = "Todor"'  		LastName = "Todorov"'  		Age = 27  	}'  	new Student {  		FirstName = "Miroslav"'  		LastName = "Ivanov"'  		Age = 24  	}'  	new Student {  		FirstName = "Alesandro"'  		LastName = "Nesta"'  		Age = 24  	}  };  
Magic Number,StudentsInfo,StudentsDatabase,C:\repos\Stefanpu13_TelerikAcademyRepository\C# Programming\C#Part3-OOP\3. Extension methods\ExtensionsLambda\StudentsInfo\StudentsDatabase.cs,StudentsDatabase,The following statement contains a magic number: Students = new Student[] {  	//A list of object initalisers  	new Student {  		FirstName = "Pesho"'  		LastName = "Ivanov"'  		Age = 23  	}'  	new Student {  		FirstName = "Pesho"'  		LastName = "Georgiev"'  		Age = 23  	}'  	new Student {  		FirstName = "Ivan"'  		LastName = "Peshev"'  		Age = 20  	}'  	new Student {  		FirstName = "Georgi"'  		LastName = "Ivanov"'  		Age = 21  	}'  	new Student {  		FirstName = "Todor"'  		LastName = "Stoyanov"'  		Age = 25  	}'  	new Student {  		FirstName = "Todor"'  		LastName = "Todorov"'  		Age = 27  	}'  	new Student {  		FirstName = "Miroslav"'  		LastName = "Ivanov"'  		Age = 24  	}'  	new Student {  		FirstName = "Alesandro"'  		LastName = "Nesta"'  		Age = 24  	}  };  
Magic Number,StudentsInfo,StudentsDatabase,C:\repos\Stefanpu13_TelerikAcademyRepository\C# Programming\C#Part3-OOP\3. Extension methods\ExtensionsLambda\StudentsInfo\StudentsDatabase.cs,StudentsDatabase,The following statement contains a magic number: Students = new Student[] {  	//A list of object initalisers  	new Student {  		FirstName = "Pesho"'  		LastName = "Ivanov"'  		Age = 23  	}'  	new Student {  		FirstName = "Pesho"'  		LastName = "Georgiev"'  		Age = 23  	}'  	new Student {  		FirstName = "Ivan"'  		LastName = "Peshev"'  		Age = 20  	}'  	new Student {  		FirstName = "Georgi"'  		LastName = "Ivanov"'  		Age = 21  	}'  	new Student {  		FirstName = "Todor"'  		LastName = "Stoyanov"'  		Age = 25  	}'  	new Student {  		FirstName = "Todor"'  		LastName = "Todorov"'  		Age = 27  	}'  	new Student {  		FirstName = "Miroslav"'  		LastName = "Ivanov"'  		Age = 24  	}'  	new Student {  		FirstName = "Alesandro"'  		LastName = "Nesta"'  		Age = 24  	}  };  
Magic Number,StudentsInfo,StudentsDatabase,C:\repos\Stefanpu13_TelerikAcademyRepository\C# Programming\C#Part3-OOP\3. Extension methods\ExtensionsLambda\StudentsInfo\StudentsDatabase.cs,StudentsDatabase,The following statement contains a magic number: Students = new Student[] {  	//A list of object initalisers  	new Student {  		FirstName = "Pesho"'  		LastName = "Ivanov"'  		Age = 23  	}'  	new Student {  		FirstName = "Pesho"'  		LastName = "Georgiev"'  		Age = 23  	}'  	new Student {  		FirstName = "Ivan"'  		LastName = "Peshev"'  		Age = 20  	}'  	new Student {  		FirstName = "Georgi"'  		LastName = "Ivanov"'  		Age = 21  	}'  	new Student {  		FirstName = "Todor"'  		LastName = "Stoyanov"'  		Age = 25  	}'  	new Student {  		FirstName = "Todor"'  		LastName = "Todorov"'  		Age = 27  	}'  	new Student {  		FirstName = "Miroslav"'  		LastName = "Ivanov"'  		Age = 24  	}'  	new Student {  		FirstName = "Alesandro"'  		LastName = "Nesta"'  		Age = 24  	}  };  
Magic Number,StudentsInfo,StudentsDatabase,C:\repos\Stefanpu13_TelerikAcademyRepository\C# Programming\C#Part3-OOP\3. Extension methods\ExtensionsLambda\StudentsInfo\StudentsDatabase.cs,StudentsDatabase,The following statement contains a magic number: Students = new Student[] {  	//A list of object initalisers  	new Student {  		FirstName = "Pesho"'  		LastName = "Ivanov"'  		Age = 23  	}'  	new Student {  		FirstName = "Pesho"'  		LastName = "Georgiev"'  		Age = 23  	}'  	new Student {  		FirstName = "Ivan"'  		LastName = "Peshev"'  		Age = 20  	}'  	new Student {  		FirstName = "Georgi"'  		LastName = "Ivanov"'  		Age = 21  	}'  	new Student {  		FirstName = "Todor"'  		LastName = "Stoyanov"'  		Age = 25  	}'  	new Student {  		FirstName = "Todor"'  		LastName = "Todorov"'  		Age = 27  	}'  	new Student {  		FirstName = "Miroslav"'  		LastName = "Ivanov"'  		Age = 24  	}'  	new Student {  		FirstName = "Alesandro"'  		LastName = "Nesta"'  		Age = 24  	}  };  
Magic Number,StudentsInfo,StudentsDatabase,C:\repos\Stefanpu13_TelerikAcademyRepository\C# Programming\C#Part3-OOP\3. Extension methods\ExtensionsLambda\StudentsInfo\StudentsDatabase.cs,StudentsDatabase,The following statement contains a magic number: Students = new Student[] {  	//A list of object initalisers  	new Student {  		FirstName = "Pesho"'  		LastName = "Ivanov"'  		Age = 23  	}'  	new Student {  		FirstName = "Pesho"'  		LastName = "Georgiev"'  		Age = 23  	}'  	new Student {  		FirstName = "Ivan"'  		LastName = "Peshev"'  		Age = 20  	}'  	new Student {  		FirstName = "Georgi"'  		LastName = "Ivanov"'  		Age = 21  	}'  	new Student {  		FirstName = "Todor"'  		LastName = "Stoyanov"'  		Age = 25  	}'  	new Student {  		FirstName = "Todor"'  		LastName = "Todorov"'  		Age = 27  	}'  	new Student {  		FirstName = "Miroslav"'  		LastName = "Ivanov"'  		Age = 24  	}'  	new Student {  		FirstName = "Alesandro"'  		LastName = "Nesta"'  		Age = 24  	}  };  
