Method,LOC,CC,PC
ClientTransportManager:OnUnknownResponseReceived,12,3,1
ClientTransportManager:ClientTransportManager,10,2,1
ClientTransportManager:Dispose,4,1,0
ClientTransportManager:DisposeOnce,6,2,1
ClientTransportManager:Dispose,1,1,1
ClientTransportManager:BeginShutdown,11,2,0
ClientTransportManager:BeginShutdownCore,3,1,0
ClientTransportManager:ConnectAsync,8,2,1
ClientTransportManager:ConnectAsyncCore,0,1,1
ClientTransportManager:HandleSocketError,17,2,2
ClientTransportManager:ReturnTransport,0,1,1
ClientTransportManager:HandleOrphan,3,1,3
ClientTransportManager:GetRequestContext,8,1,1
ClientTransportManager:GetResponseContext,10,1,2
ClientTransportManager:ReturnRequestContext,10,2,1
ClientTransportManager:ReturnResponseContext,10,2,1
ClientTransportManager:BeginConnectTimeoutWatch,15,3,1
ClientTransportManager:EndConnectTimeoutWatch,8,2,1
ConnectTimeoutWatcher:ConnectTimeoutWatcher,1,1,0
ConnectTimeoutWatcher:Dispose,4,1,0
ConnectTimeoutWatcher:Dispose,3,1,1
NullConnectTimeoutWatcher:NullConnectTimeoutWatcher,1,1,0
DefaultConnectTimeoutWatcher:DefaultConnectTimeoutWatcher,6,1,2
DefaultConnectTimeoutWatcher:Dispose,8,2,1
ClientTransportManager<TTransport>:ClientTransportManager,3,1,1
ClientTransportManager<TTransport>:SetTransportPool,12,3,1
ClientTransportManager<TTransport>:BeginShutdownCore,28,4,0
ClientTransportManager<TTransport>:OnTransportShutdownCompleted,13,1,2
ClientTransportManager<TTransport>:GetTransport,14,1,1
ClientTransportManager<TTransport>:GetTransportCore,10,2,1
ClientTransportManager<TTransport>:BindSocket,12,3,2
ClientTransportManager<TTransport>:ReturnTransport,3,1,1
ClientTransportManager<TTransport>:ReturnTransport,22,4,1
ClientTransportManager<TTransport>:ReturnTransportCore,9,2,1
ClientResponseContext:ClientResponseContext,2,1,0
ClientResponseContext:ClientResponseContext,4,1,1
ClientResponseContext:SkipResultSegment,6,1,0
ClientResponseContext:SkipErrorSegment,6,1,0
ClientResponseContext:SkipHeader,9,2,1
ClientResponseContext:SetTransport,5,1,1
ClientResponseContext:InvalidFlow,3,1,1
ClientResponseContext:Clear,5,1,0
ClientResponseContext:ClearBuffers,15,3,0
ClientRequestContext:ClientRequestContext,2,1,0
ClientRequestContext:ClientRequestContext,13,1,1
ClientRequestContext:StartWatchTimeout,4,1,1
ClientRequestContext:StopWatchTimeout,4,1,0
ClientRequestContext:SetRequest,24,4,3
ClientRequestContext:SetNotification,24,4,2
ClientRequestContext:Prepare,44,3,1
ClientRequestContext:ClearBuffers,12,1,0
ClientRequestContext:Clear,8,1,0
MsgPackRpcClientProtocolsTrace:ShouldTrace,3,1,1
MsgPackRpcClientProtocolsTrace:TraceEvent,10,2,3
MsgPackRpcClientProtocolsTrace:TraceData,3,1,2
MsgPackRpcClientProtocolsTrace:TraceRpcError,3,1,3
MsgPackRpcClientProtocolsTrace:GetTypeForRpcError,23,3,1
MsgPackRpcClientProtocolsTrace:GetIdForRpcError,10,2,1
ClientSocketError:ToClientRpcError,10,2,1
TcpClientTransport:TcpClientTransport,1,1,1
TcpClientTransport:ShutdownSending,14,1,0
TcpClientTransport:ShutdownReceiving,14,1,0
TcpClientTransport:SendCore,7,2,1
TcpClientTransport:ReceiveCore,7,2,1
TcpClientTransportManager:TcpClientTransportManager,5,1,1
TcpClientTransportManager:ConnectAsyncCore,57,2,1
TcpClientTransportManager:OnCompleted,52,4,2
TcpClientTransportManager:OnConnected,31,2,3
TcpClientTransportManager:GetTransportCore,9,2,1
UdpClientTransport:UdpClientTransport,1,1,1
UdpClientTransport:GetClientRequestContext,9,2,0
UdpClientTransport:SendCore,7,2,1
UdpClientTransport:ReceiveCore,7,2,1
UdpClientTransportManager:UdpClientTransportManager,5,1,1
UdpClientTransportManager:ConnectAsyncCore,5,1,1
UdpClientTransportManager:CreateTransport,11,1,1
UdpClientTransportManager:GetTransportCore,9,2,1
UnknownResponseReceivedEventArgs:UnknownResponseReceivedEventArgs,5,1,3
UnknownResponseReceivedEventArgs:ObjectInvariant,4,1,0
ClientQuotaMessageFilter:ClientQuotaMessageFilter,1,1,1
ClientQuotaMessageFilterProvider:ClientQuotaMessageFilterProvider,3,1,1
ClientQuotaMessageFilterProvider:GetFilter,10,2,1
ClientStreamLoggingMessageFilter:ClientStreamLoggingMessageFilter,1,1,1
ClientStreamLoggingMessageFilterProvider:ClientStreamLoggingMessageFilterProvider,3,1,1
ClientStreamLoggingMessageFilterProvider:GetFilter,10,2,1
