Architecture smell,Project,Namespace,Cause
Unstable Dependency,MsgPack.Rpc.Client.Silverlight.5,MsgPack.Rpc.Client,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): MsgPack.Rpc.Client.Protocols
Feature Concentration,MsgPack.Rpc.Client.Silverlight.5,MsgPack.Rpc.Client.Protocols,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ClientRequestContext]' [ClientResponseContext]' [ClientSocketError]' [ClientTransport' ClientTransportManager' MsgPackRpcClientProtocolsTrace' TcpClientTransport' TcpClientTransportManager' UdpClientTransport' UdpClientTransportManager' UnknownResponseReceivedEventArgs]. LCC (Lack of Component Cohesion) = 0.36
