Implementation smell,Namespace,Class,File,Method,Description
Virtual Method Call from Constructor,Magnum.FileSystem.Zip,ZipFileName,C:\research\architectureSmells\repos\phatboyg_Magnum\src\Magnum.FileSystem\Zip\ZipFileName.cs,ZipFileName,The constructor "ZipFileName" calls a virtual method "GetName".
Magic Number,Magnum.FileSystem,DotNetFile,C:\research\architectureSmells\repos\phatboyg_Magnum\src\Magnum.FileSystem\DotNetFile.cs,CopyTo,The following statement contains a magic number: WithStream(s=>              {                  using(var stream = System.IO.File.OpenWrite(path.GetPath()))                  {                      //.net 4.0 has a stream.CopyTo method                      var buff = new byte[32768];                      while (true)                      {                          int read = s.Read(buff' 0' buff.Length);                            if (read <= 0)                              return;                            stream.Write(buff' 0' read);                      }                  }              });
Magic Number,Magnum.FileSystem.Zip,ZippedFile,C:\research\architectureSmells\repos\phatboyg_Magnum\src\Magnum.FileSystem\Zip\ZippedFile.cs,CopyTo,The following statement contains a magic number: WithStream(s =>              {                  using (var stream = System.IO.File.OpenWrite(path.GetPath()))                  {                      var buff = new byte[32768];                      while (true)                      {                          int read = s.Read(buff' 0' buff.Length);                            if (read <= 0)                              return;                            stream.Write(buff' 0' read);                      }                  }              });
