Implementation smell,Namespace,Class,File,Method,Description
Long Statement,Murphy.Plugins,Log,C:\repos\MrTiggr_Murphy\Plugins\Log\Log.cs,Bot_OnRawMessage,The length of the statement  "	System.IO.StreamWriter writer = new System.IO.StreamWriter ("Logs\\" + d.Year + "." + d.Month + "." + d.Day + ".log"' true); " is 124.
Long Statement,Murphy.Plugins,Log,C:\repos\MrTiggr_Murphy\Plugins\Log\Log.cs,Bot_OnRawMessage,The length of the statement  "	writer.WriteLine (((TimeSpan)(DateTime.Now - new DateTime (1970' 1' 1))).TotalMilliseconds.ToString () + " " + e.Data.RawMessage); " is 130.
Long Statement,Murphy.Plugins,Log,C:\repos\MrTiggr_Murphy\Plugins\Log\Log.cs,Bot_OnMessage,The length of the statement  "		AnswerWithNotice (n' e' "No remote commands available. Every IRC command gets logged in its raw form to a file in the \\Data subdirectory."); " is 141.
Magic Number,Murphy.Plugins,Log,C:\repos\MrTiggr_Murphy\Plugins\Log\Log.cs,Bot_OnRawMessage,The following statement contains a magic number: writer.WriteLine (((TimeSpan)(DateTime.Now - new DateTime (1970' 1' 1))).TotalMilliseconds.ToString () + " " + e.Data.RawMessage);  
