Implementation smell,Namespace,Class,File,Method,Description
Long Statement,MDT.ManageCenter.WinServiceHost,Service1,C:\repos\chensonglin_MDT\MDT.ManageCenter.WinServiceHost\Service1.cs,dbSchemaHost_Faulted,The length of the statement  "	EventLog.WriteEntry (String.Format ("{0}发生错误，状态为{1}"' ServiceName' dbSchemaHost.State.ToString ())' EventLogEntryType.Error); " is 125.
Long Statement,MDT.ManageCenter.WinServiceHost,Service1,C:\repos\chensonglin_MDT\MDT.ManageCenter.WinServiceHost\Service1.cs,manageCenterHost_Faulted,The length of the statement  "	EventLog.WriteEntry (String.Format ("{0}发生错误，状态为{1}"' ServiceName' manageCenterHost.State.ToString ())' EventLogEntryType.Error); " is 129.
Long Statement,MDT.ManageCenter.WinServiceHost,Service1,C:\repos\chensonglin_MDT\MDT.ManageCenter.WinServiceHost\Service1.cs,exchangeTraceHost_Faulted,The length of the statement  "	EventLog.WriteEntry (String.Format ("{0}发生错误，状态为{1}"' ServiceName' exchangeTraceHost.State.ToString ())' EventLogEntryType.Error); " is 130.
Long Statement,MDT.ManageCenter.WinServiceHost,Service1,C:\repos\chensonglin_MDT\MDT.ManageCenter.WinServiceHost\Service1.cs,producerCenterHost_Faulted,The length of the statement  "	EventLog.WriteEntry (String.Format ("{0}发生错误，状态为{1}"' ServiceName' producerCenterHost.State.ToString ())' EventLogEntryType.Error); " is 131.
Long Statement,MDT.ManageCenter.WinServiceHost,Service1,C:\repos\chensonglin_MDT\MDT.ManageCenter.WinServiceHost\Service1.cs,consumerCenterHost_Faulted,The length of the statement  "	EventLog.WriteEntry (String.Format ("{0}发生错误，状态为{1}"' ServiceName' consumerCenterHost.State.ToString ())' EventLogEntryType.Error); " is 131.
