Implementation smell,Namespace,Class,File,Method,Description
Long Parameter List,PhotoCameraDemo,MainPage,C:\repos\dotnetautor_WP8Kochbuch\Buch.Beispiele\Kapitel 08\01 PhotoCamera\02 PhotoCameraDemo\MainPage.xaml.cs,OnNavigatedTo,The method has 9 parameters.
Magic Number,PhotoCameraDemo,MainPage,C:\repos\dotnetautor_WP8Kochbuch\Buch.Beispiele\Kapitel 08\01 PhotoCamera\02 PhotoCameraDemo\MainPage.xaml.cs,OnNavigatedTo,The following statement contains a magic number: previewCanvas.RelativeTransform = new CompositeTransform () {  	CenterX = 0.5'  	CenterY = 0.5'  	Rotation = 90  };  
Magic Number,PhotoCameraDemo,MainPage,C:\repos\dotnetautor_WP8Kochbuch\Buch.Beispiele\Kapitel 08\01 PhotoCamera\02 PhotoCameraDemo\MainPage.xaml.cs,OnNavigatedTo,The following statement contains a magic number: previewCanvas.RelativeTransform = new CompositeTransform () {  	CenterX = 0.5'  	CenterY = 0.5'  	Rotation = 90  };  
Magic Number,PhotoCameraDemo,MainPage,C:\repos\dotnetautor_WP8Kochbuch\Buch.Beispiele\Kapitel 08\01 PhotoCamera\02 PhotoCameraDemo\MainPage.xaml.cs,OnNavigatedTo,The following statement contains a magic number: previewCanvas.RelativeTransform = new CompositeTransform () {  	CenterX = 0.5'  	CenterY = 0.5'  	Rotation = 90  };  
