Implementation smell,Namespace,Class,File,Method,Description
Long Statement,Microsoft.OData.Service.Sample.Spatial2.Api,SpatialModelExtender,C:\repos\OData_ODataSamples\RESTier\SpatialSample2\Spatial\Api\SpatialApi.cs,CreateODataServiceModel,The length of the statement  "                personType.AddProperty(new EdmStructuralProperty(personType' "DbLocation"' EdmCoreModel.Instance.GetSpatial(EdmPrimitiveTypeKind.GeographyPolygon' true))); " is 155.
Long Statement,Microsoft.OData.Service.Sample.Spatial2.Api,SpatialModelExtender,C:\repos\OData_ODataSamples\RESTier\SpatialSample2\Spatial\Api\SpatialApi.cs,CreateODataServiceModel,The length of the statement  "                personType.AddProperty(new EdmStructuralProperty(personType' "DbLineString"' EdmCoreModel.Instance.GetSpatial(EdmPrimitiveTypeKind.GeographyMultiPoint' true))); " is 160.
Magic Number,Microsoft.OData.Service.Sample.Spatial2.Models,SpatialModel,C:\repos\OData_ODataSamples\RESTier\SpatialSample2\Spatial\Models\SpatialModel.cs,ResetDataSource,The following statement contains a magic number: var person1 = new Person              {                  PersonId = 1'                  FirstName = "Russell"'                  LastName = "Whyte"'                  UserName = "russellwhyte"'                  DbLocation = DbGeography.FromText("POINT(52.808019 -1.345367)"' 4326)'                  DbLineString = DbGeography.LineFromText("LINESTRING (30 10' 10 30' 40 40)"' 4326)              };
Magic Number,Microsoft.OData.Service.Sample.Spatial2.Models,SpatialModel,C:\repos\OData_ODataSamples\RESTier\SpatialSample2\Spatial\Models\SpatialModel.cs,ResetDataSource,The following statement contains a magic number: var person1 = new Person              {                  PersonId = 1'                  FirstName = "Russell"'                  LastName = "Whyte"'                  UserName = "russellwhyte"'                  DbLocation = DbGeography.FromText("POINT(52.808019 -1.345367)"' 4326)'                  DbLineString = DbGeography.LineFromText("LINESTRING (30 10' 10 30' 40 40)"' 4326)              };
Magic Number,Microsoft.OData.Service.Sample.Spatial2.Models,SpatialModel,C:\repos\OData_ODataSamples\RESTier\SpatialSample2\Spatial\Models\SpatialModel.cs,ResetDataSource,The following statement contains a magic number: var person2 = new Person              {                  PersonId = 2'                  FirstName = "Scott"'                  LastName = "Ketchum"'                  UserName = "scottketchum"'                  DbLocation = DbGeography.FromText("POINT(52.808019 -1.345367)"' 4326)'                  DbLineString = DbGeography.LineFromText("LINESTRING (40 10' 10 30' 40 40)"' 4326)              };
Magic Number,Microsoft.OData.Service.Sample.Spatial2.Models,SpatialModel,C:\repos\OData_ODataSamples\RESTier\SpatialSample2\Spatial\Models\SpatialModel.cs,ResetDataSource,The following statement contains a magic number: var person2 = new Person              {                  PersonId = 2'                  FirstName = "Scott"'                  LastName = "Ketchum"'                  UserName = "scottketchum"'                  DbLocation = DbGeography.FromText("POINT(52.808019 -1.345367)"' 4326)'                  DbLineString = DbGeography.LineFromText("LINESTRING (40 10' 10 30' 40 40)"' 4326)              };
Magic Number,Microsoft.OData.Service.Sample.Spatial2.Models,SpatialModel,C:\repos\OData_ODataSamples\RESTier\SpatialSample2\Spatial\Models\SpatialModel.cs,ResetDataSource,The following statement contains a magic number: var person2 = new Person              {                  PersonId = 2'                  FirstName = "Scott"'                  LastName = "Ketchum"'                  UserName = "scottketchum"'                  DbLocation = DbGeography.FromText("POINT(52.808019 -1.345367)"' 4326)'                  DbLineString = DbGeography.LineFromText("LINESTRING (40 10' 10 30' 40 40)"' 4326)              };
Magic Number,Microsoft.OData.Service.Sample.Spatial2.Models,SpatialModel,C:\repos\OData_ODataSamples\RESTier\SpatialSample2\Spatial\Models\SpatialModel.cs,ResetDataSource,The following statement contains a magic number: var person3 = new Person              {                  PersonId = 3'                  FirstName = "Ronald"'                  LastName = "Mundy"'                  UserName = "ronaldmundy"'                  DbLocation = DbGeography.FromText("POINT(52.808019 -1.345367)"' 4326)              };
Magic Number,Microsoft.OData.Service.Sample.Spatial2.Models,SpatialModel,C:\repos\OData_ODataSamples\RESTier\SpatialSample2\Spatial\Models\SpatialModel.cs,ResetDataSource,The following statement contains a magic number: var person3 = new Person              {                  PersonId = 3'                  FirstName = "Ronald"'                  LastName = "Mundy"'                  UserName = "ronaldmundy"'                  DbLocation = DbGeography.FromText("POINT(52.808019 -1.345367)"' 4326)              };
Magic Number,Microsoft.OData.Service.Sample.Spatial2.Models,SpatialModel,C:\repos\OData_ODataSamples\RESTier\SpatialSample2\Spatial\Models\SpatialModel.cs,ResetDataSource,The following statement contains a magic number: var person4 = new Person              {                  PersonId = 4'                  FirstName = "Javier"'                  LastName = "Mundy"'                  UserName = "javieralfred"'                  DbLocation = DbGeography.FromText("POINT(52.808019 -1.345367)"' 4326)              };
Magic Number,Microsoft.OData.Service.Sample.Spatial2.Models,SpatialModel,C:\repos\OData_ODataSamples\RESTier\SpatialSample2\Spatial\Models\SpatialModel.cs,ResetDataSource,The following statement contains a magic number: var person4 = new Person              {                  PersonId = 4'                  FirstName = "Javier"'                  LastName = "Mundy"'                  UserName = "javieralfred"'                  DbLocation = DbGeography.FromText("POINT(52.808019 -1.345367)"' 4326)              };
