Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
PrettyPolyEditor,4,10,2,3,1,190,32,0,0,0.9,2,0
PrettyPolyPainter,9,11,1,3,0,159,35,0,0,0,2,0
