Implementation smell,Namespace,Class,File,Method,Description
Magic Number,TimerDelegate,TimerDelegate,D:\research\architectureSmells\repos\dentia_TelerikAcademy\Homeworks\OOP\Extension-Methods-And-LINQ\TimerDelegate\TimerDelegate.cs,Main,The following statement contains a magic number: Timer t = new Timer(5' 2' delegate() { Console.WriteLine("tick"); });
Magic Number,TimerDelegate,TimerDelegate,D:\research\architectureSmells\repos\dentia_TelerikAcademy\Homeworks\OOP\Extension-Methods-And-LINQ\TimerDelegate\TimerDelegate.cs,Main,The following statement contains a magic number: Timer t = new Timer(5' 2' delegate() { Console.WriteLine("tick"); });
