Implementation smell,Namespace,Class,File,Method,Description
Magic Number,BonusScore,BonusScore,D:\research\architectureSmells\repos\dentia_TelerikAcademy\Homeworks\C#1\Conditional-Statements\BonusScore\BonusScore.cs,GetResult,The following statement contains a magic number: switch (score)              {                  case 1:                  case 2:                  case 3:                      return (score * 10).ToString();                  case 4:                  case 5:                  case 6:                      return (score * 100).ToString();                  case 7:                  case 8:                  case 9:                      return (score * 1000).ToString();                  default:                      return "Invalid score.";              }
Magic Number,BonusScore,BonusScore,D:\research\architectureSmells\repos\dentia_TelerikAcademy\Homeworks\C#1\Conditional-Statements\BonusScore\BonusScore.cs,GetResult,The following statement contains a magic number: switch (score)              {                  case 1:                  case 2:                  case 3:                      return (score * 10).ToString();                  case 4:                  case 5:                  case 6:                      return (score * 100).ToString();                  case 7:                  case 8:                  case 9:                      return (score * 1000).ToString();                  default:                      return "Invalid score.";              }
Magic Number,BonusScore,BonusScore,D:\research\architectureSmells\repos\dentia_TelerikAcademy\Homeworks\C#1\Conditional-Statements\BonusScore\BonusScore.cs,GetResult,The following statement contains a magic number: switch (score)              {                  case 1:                  case 2:                  case 3:                      return (score * 10).ToString();                  case 4:                  case 5:                  case 6:                      return (score * 100).ToString();                  case 7:                  case 8:                  case 9:                      return (score * 1000).ToString();                  default:                      return "Invalid score.";              }
Magic Number,BonusScore,BonusScore,D:\research\architectureSmells\repos\dentia_TelerikAcademy\Homeworks\C#1\Conditional-Statements\BonusScore\BonusScore.cs,GetResult,The following statement contains a magic number: switch (score)              {                  case 1:                  case 2:                  case 3:                      return (score * 10).ToString();                  case 4:                  case 5:                  case 6:                      return (score * 100).ToString();                  case 7:                  case 8:                  case 9:                      return (score * 1000).ToString();                  default:                      return "Invalid score.";              }
Magic Number,BonusScore,BonusScore,D:\research\architectureSmells\repos\dentia_TelerikAcademy\Homeworks\C#1\Conditional-Statements\BonusScore\BonusScore.cs,GetResult,The following statement contains a magic number: switch (score)              {                  case 1:                  case 2:                  case 3:                      return (score * 10).ToString();                  case 4:                  case 5:                  case 6:                      return (score * 100).ToString();                  case 7:                  case 8:                  case 9:                      return (score * 1000).ToString();                  default:                      return "Invalid score.";              }
Magic Number,BonusScore,BonusScore,D:\research\architectureSmells\repos\dentia_TelerikAcademy\Homeworks\C#1\Conditional-Statements\BonusScore\BonusScore.cs,GetResult,The following statement contains a magic number: switch (score)              {                  case 1:                  case 2:                  case 3:                      return (score * 10).ToString();                  case 4:                  case 5:                  case 6:                      return (score * 100).ToString();                  case 7:                  case 8:                  case 9:                      return (score * 1000).ToString();                  default:                      return "Invalid score.";              }
Magic Number,BonusScore,BonusScore,D:\research\architectureSmells\repos\dentia_TelerikAcademy\Homeworks\C#1\Conditional-Statements\BonusScore\BonusScore.cs,GetResult,The following statement contains a magic number: switch (score)              {                  case 1:                  case 2:                  case 3:                      return (score * 10).ToString();                  case 4:                  case 5:                  case 6:                      return (score * 100).ToString();                  case 7:                  case 8:                  case 9:                      return (score * 1000).ToString();                  default:                      return "Invalid score.";              }
Magic Number,BonusScore,BonusScore,D:\research\architectureSmells\repos\dentia_TelerikAcademy\Homeworks\C#1\Conditional-Statements\BonusScore\BonusScore.cs,GetResult,The following statement contains a magic number: switch (score)              {                  case 1:                  case 2:                  case 3:                      return (score * 10).ToString();                  case 4:                  case 5:                  case 6:                      return (score * 100).ToString();                  case 7:                  case 8:                  case 9:                      return (score * 1000).ToString();                  default:                      return "Invalid score.";              }
Magic Number,BonusScore,BonusScore,D:\research\architectureSmells\repos\dentia_TelerikAcademy\Homeworks\C#1\Conditional-Statements\BonusScore\BonusScore.cs,GetResult,The following statement contains a magic number: switch (score)              {                  case 1:                  case 2:                  case 3:                      return (score * 10).ToString();                  case 4:                  case 5:                  case 6:                      return (score * 100).ToString();                  case 7:                  case 8:                  case 9:                      return (score * 1000).ToString();                  default:                      return "Invalid score.";              }
Magic Number,BonusScore,BonusScore,D:\research\architectureSmells\repos\dentia_TelerikAcademy\Homeworks\C#1\Conditional-Statements\BonusScore\BonusScore.cs,GetResult,The following statement contains a magic number: switch (score)              {                  case 1:                  case 2:                  case 3:                      return (score * 10).ToString();                  case 4:                  case 5:                  case 6:                      return (score * 100).ToString();                  case 7:                  case 8:                  case 9:                      return (score * 1000).ToString();                  default:                      return "Invalid score.";              }
Magic Number,BonusScore,BonusScore,D:\research\architectureSmells\repos\dentia_TelerikAcademy\Homeworks\C#1\Conditional-Statements\BonusScore\BonusScore.cs,GetResult,The following statement contains a magic number: switch (score)              {                  case 1:                  case 2:                  case 3:                      return (score * 10).ToString();                  case 4:                  case 5:                  case 6:                      return (score * 100).ToString();                  case 7:                  case 8:                  case 9:                      return (score * 1000).ToString();                  default:                      return "Invalid score.";              }
